,Region,Number of Taxa
0,ABT,84
1,AFG,130
2,AGE,131
3,AGS,45
4,AGW,111
5,ALA,118
6,ALB,307
7,ALD,10
8,ALG,209
9,ALT,154
10,ALU,23
11,AMU,94
12,AND,74
13,ANG,70
14,ARI,112
15,ARK,100
16,ARU,18
17,ASC,4
18,ASK,68
19,ASP,2
20,ASS,208
21,ATP,10
22,AUT,318
23,AZO,54
24,BAH,46
25,BAL,125
26,BAN,144
27,BEN,47
28,BER,15
29,BGM,228
30,BIS,45
31,BKN,37
32,BLR,184
33,BLT,185
34,BLZ,105
35,BOL,265
36,BOR,138
37,BOT,40
38,BRC,92
39,BRY,126
40,BUL,316
41,BUR,48
42,BZC,174
43,BZE,182
44,BZL,211
45,BZN,184
46,BZS,171
47,CAB,13
48,CAF,61
49,CAL,127
50,CAY,28
51,CBD,125
52,CGS,4
53,CHA,48
54,CHC,297
55,CHH,123
56,CHI,121
57,CHM,126
58,CHN,178
59,CHQ,62
60,CHS,240
61,CHT,148
62,CHX,118
63,CKI,4
64,CLC,62
65,CLM,273
66,CLN,46
67,CLS,31
68,CMN,83
69,CNT,107
70,CNY,79
71,COL,104
72,COM,38
73,CON,52
74,COO,12
75,COR,204
76,COS,169
77,CPI,9
78,CPP,144
79,CPV,10
80,CRL,39
81,CRZ,1
82,CTA,106
83,CTM,13
84,CUB,122
85,CVI,33
86,CYP,99
87,CZE,308
88,DEL,97
89,DEN,169
90,DJI,21
91,DOM,103
92,EAI,136
93,ECU,212
94,EGY,79
95,EHM,226
96,ELS,97
97,EQG,24
98,ERI,52
99,ETH,87
100,FAL,6
101,FIJ,44
102,FIN,160
103,FLA,115
104,FOR,53
105,FRA,474
106,FRG,126
107,GAB,56
108,GAL,20
109,GAM,24
110,GEO,117
111,GER,338
112,GGI,47
113,GHA,58
114,GIL,6
115,GNB,37
116,GNL,43
117,GRB,211
118,GRC,309
119,GST,42
120,GUA,161
121,GUI,60
122,GUY,137
123,HAI,100
124,HAW,19
125,HBI,1
126,HON,162
127,HUN,254
128,ICE,67
129,IDA,86
130,ILL,117
131,IND,208
132,INI,109
133,IOW,87
134,IRE,160
135,IRK,120
136,IRN,228
137,IRQ,135
138,ITA,432
139,IVO,58
140,JAM,86
141,JAP,183
142,JAW,156
143,JNF,8
144,KAM,78
145,KAN,84
146,KAZ,191
147,KEG,2
148,KEN,90
149,KER,3
150,KGZ,113
151,KHA,106
152,KOR,142
153,KRA,134
154,KRI,135
155,KRY,193
156,KTY,104
157,KUR,70
158,KUW,21
159,KZN,17
160,LAB,44
161,LAO,159
162,LBR,44
163,LBS,180
164,LBY,105
165,LDV,19
166,LEE,76
167,LES,24
168,LIN,2
169,LOU,98
170,LSI,108
171,MAG,72
172,MAI,105
173,MAN,80
174,MAQ,1
175,MAS,112
176,MAU,39
177,MCI,7
178,MDG,82
179,MDR,56
180,MDV,14
181,MIC,116
182,MIN,102
183,MLI,39
184,MLW,66
185,MLY,176
186,MNT,100
187,MOL,81
188,MON,131
189,MOR,228
190,MOZ,82
191,MPE,1
192,MRN,22
193,MRQ,12
194,MRS,6
195,MRY,111
196,MSI,101
197,MSO,102
198,MTN,36
199,MXC,160
200,MXE,218
201,MXG,191
202,MXI,6
203,MXN,147
204,MXS,217
205,MXT,184
206,MYA,243
207,NAM,54
208,NAT,70
209,NBR,90
210,NCA,129
211,NCB,51
212,NCS,235
213,NDA,72
214,NEB,81
215,NEP,193
216,NET,200
217,NEV,100
218,NFK,14
219,NFL,67
220,NGA,72
221,NGR,26
222,NIC,138
223,NLA,23
224,NNS,87
225,NOR,173
226,NRU,5
227,NSC,85
228,NSW,100
229,NTA,48
230,NUE,11
231,NUN,35
232,NWC,44
233,NWG,126
234,NWH,102
235,NWJ,112
236,NWM,114
237,NWT,61
238,NWY,140
239,NZN,28
240,NZS,32
241,OFS,42
242,OGA,26
243,OHI,107
244,OKL,106
245,OMA,52
246,ONT,121
247,ORE,100
248,PAK,166
249,PAL,128
250,PAN,152
251,PAR,127
252,PEI,60
253,PEN,123
254,PER,250
255,PHI,164
256,PIT,3
257,POL,266
258,POR,242
259,PRM,106
260,PUE,82
261,QLD,121
262,QUE,111
263,REU,50
264,RHO,87
265,ROD,10
266,ROM,302
267,RUC,209
268,RUE,204
269,RUN,156
270,RUS,172
271,RUW,170
272,RWA,47
273,SAK,77
274,SAM,34
275,SAR,184
276,SAS,77
277,SAU,83
278,SCA,116
279,SCI,26
280,SCS,15
281,SCZ,12
282,SDA,83
283,SEL,8
284,SEN,45
285,SEY,19
286,SGE,1
287,SIC,210
288,SIE,42
289,SIN,56
290,SOA,39
291,SOC,19
292,SOL,59
293,SOM,46
294,SPA,434
295,SRL,130
296,SSA,1
297,STH,2
298,SUD,78
299,SUL,111
300,SUM,145
301,SUR,123
302,SVA,17
303,SWC,16
304,SWE,206
305,SWI,322
306,SWZ,49
307,TAI,169
308,TAN,105
309,TAS,45
310,TCI,22
311,TCS,256
312,TDC,5
313,TEN,110
314,TEX,153
315,THA,228
316,TKM,97
317,TOG,31
318,TOK,5
319,TON,22
320,TRT,88
321,TUA,4
322,TUB,11
323,TUE,190
324,TUN,148
325,TUR,323
326,TUV,2
327,TVA,103
328,TVL,73
329,TZK,117
330,UGA,85
331,UKR,288
332,URU,88
333,UTA,111
334,UZB,107
335,VAN,49
336,VEN,236
337,VER,107
338,VIC,56
339,VIE,250
340,VNA,35
341,VRG,123
342,WAL,19
343,WAS,94
344,WAU,69
345,WDC,66
346,WHM,199
347,WIN,74
348,WIS,107
349,WSA,18
350,WSB,163
351,WVA,99
352,WYO,99
353,XMS,11
354,YAK,119
355,YEM,67
356,YUG,384
357,YUK,60
358,ZAI,94
359,ZAM,65
360,ZIM,74
