,Region,Number of Taxa
0,ABT,126
1,AFG,192
2,AGE,246
3,AGS,76
4,AGW,199
5,ALA,215
6,ALB,454
7,ALD,13
8,ALG,344
9,ALT,219
10,ALU,34
11,AMU,134
12,AND,108
13,ANG,110
14,ARI,185
15,ARK,165
16,ARU,23
17,ASC,7
18,ASK,113
19,ASP,3
20,ASS,319
21,ATP,14
22,AUT,488
23,AZO,82
24,BAH,74
25,BAL,196
26,BAN,218
27,BEN,68
28,BER,21
29,BGM,337
30,BIS,71
31,BKN,53
32,BLR,250
33,BLT,260
34,BLZ,163
35,BOL,480
36,BOR,219
37,BOT,61
38,BRC,157
39,BRY,168
40,BUL,472
41,BUR,76
42,BZC,314
43,BZE,308
44,BZL,396
45,BZN,319
46,BZS,312
47,CAB,18
48,CAF,93
49,CAL,225
50,CAY,39
51,CBD,186
52,CGS,6
53,CHA,71
54,CHC,479
55,CHH,181
56,CHI,195
57,CHM,195
58,CHN,279
59,CHQ,93
60,CHS,388
61,CHT,224
62,CHX,182
63,CKI,6
64,CLC,111
65,CLM,461
66,CLN,74
67,CLS,57
68,CMN,139
69,CNT,163
70,CNY,129
71,COL,169
72,COM,57
73,CON,74
74,COO,21
75,COR,319
76,COS,283
77,CPI,15
78,CPP,278
79,CPV,14
80,CRL,54
81,CRZ,2
82,CTA,144
83,CTM,22
84,CUB,212
85,CVI,47
86,CYP,160
87,CZE,457
88,DEL,141
89,DEN,242
90,DJI,29
91,DOM,156
92,EAI,211
93,EAS,3
94,ECU,373
95,EGY,128
96,EHM,342
97,ELS,140
98,EQG,45
99,ERI,78
100,ETH,131
101,FAL,12
102,FIJ,53
103,FIN,223
104,FLA,205
105,FOR,70
106,FRA,770
107,FRG,214
108,GAB,99
109,GAL,39
110,GAM,32
111,GEO,215
112,GER,531
113,GGI,73
114,GHA,86
115,GIL,8
116,GNB,47
117,GNL,61
118,GRB,325
119,GRC,478
120,GST,59
121,GUA,267
122,GUI,92
123,GUY,230
124,HAI,150
125,HAW,30
126,HBI,1
127,HON,248
128,HUN,373
129,ICE,87
130,IDA,136
131,ILL,182
132,IND,353
133,INI,172
134,IOW,134
135,IRE,237
136,IRK,166
137,IRN,341
138,IRQ,208
139,ITA,671
140,IVO,90
141,JAM,141
142,JAP,325
143,JAW,241
144,JNF,14
145,KAM,116
146,KAN,128
147,KAZ,284
148,KEG,4
149,KEN,144
150,KER,8
151,KGZ,169
152,KHA,158
153,KOR,230
154,KRA,199
155,KRI,206
156,KRY,293
157,KTY,159
158,KUR,114
159,KUW,28
160,KZN,21
161,LAB,70
162,LAO,222
163,LBR,73
164,LBS,274
165,LBY,174
166,LDV,26
167,LEE,121
168,LES,41
169,LIN,3
170,LOU,172
171,LSI,155
172,MAG,105
173,MAI,157
174,MAN,125
175,MAQ,2
176,MAS,174
177,MAU,64
178,MCI,9
179,MCS,1
180,MDG,145
181,MDR,92
182,MDV,20
183,MIC,185
184,MIN,163
185,MLI,55
186,MLW,102
187,MLY,266
188,MNT,152
189,MOL,133
190,MON,190
191,MOR,378
192,MOZ,123
193,MPE,2
194,MRN,28
195,MRQ,19
196,MRS,8
197,MRY,180
198,MSI,179
199,MSO,164
200,MTN,54
201,MXC,240
202,MXE,341
203,MXG,291
204,MXI,8
205,MXN,237
206,MXS,343
207,MXT,291
208,MYA,366
209,NAM,83
210,NAT,117
211,NBR,124
212,NCA,221
213,NCB,67
214,NCS,356
215,NDA,109
216,NEB,123
217,NEP,291
218,NET,297
219,NEV,158
220,NFK,23
221,NFL,95
222,NGA,111
223,NGR,37
224,NIC,213
225,NLA,32
226,NNS,145
227,NOR,251
228,NRU,6
229,NSC,117
230,NSW,170
231,NTA,99
232,NUE,16
233,NUN,57
234,NWC,64
235,NWG,205
236,NWH,156
237,NWJ,180
238,NWM,182
239,NWT,96
240,NWY,227
241,NZN,57
242,NZS,58
243,OFS,65
244,OGA,34
245,OHI,170
246,OKL,162
247,OMA,85
248,ONT,190
249,ORE,163
250,PAK,250
251,PAL,207
252,PAN,252
253,PAR,241
254,PEI,80
255,PEN,196
256,PER,460
257,PHI,275
258,PHX,1
259,PIT,8
260,POL,393
261,POR,384
262,PRM,165
263,PUE,127
264,QLD,219
265,QUE,168
266,REU,79
267,RHO,131
268,ROD,13
269,ROM,444
270,RUC,293
271,RUE,293
272,RUN,225
273,RUS,254
274,RUW,229
275,RWA,81
276,SAK,121
277,SAM,49
278,SAR,295
279,SAS,118
280,SAU,119
281,SCA,203
282,SCI,37
283,SCS,23
284,SCZ,17
285,SDA,128
286,SEL,14
287,SEN,65
288,SEY,26
289,SGE,3
290,SIC,334
291,SIE,67
292,SIN,89
293,SOA,72
294,SOC,33
295,SOL,86
296,SOM,69
297,SPA,734
298,SRL,198
299,SSA,1
300,STH,5
301,SUD,124
302,SUL,166
303,SUM,214
304,SUR,204
305,SVA,22
306,SWC,19
307,SWE,298
308,SWI,480
309,SWZ,70
310,TAI,286
311,TAN,166
312,TAS,74
313,TCI,30
314,TCS,384
315,TDC,10
316,TEN,180
317,TEX,262
318,THA,340
319,TKM,153
320,TOG,52
321,TOK,8
322,TON,30
323,TRT,132
324,TUA,10
325,TUB,24
326,TUE,285
327,TUN,249
328,TUR,505
329,TUV,3
330,TVA,137
331,TVL,125
332,TZK,175
333,UGA,131
334,UKR,417
335,URU,147
336,UTA,178
337,UZB,158
338,VAN,64
339,VEN,392
340,VER,167
341,VIC,98
342,VIE,374
343,VNA,48
344,VRG,206
345,WAK,1
346,WAL,25
347,WAS,154
348,WAU,145
349,WDC,100
350,WHM,308
351,WIN,107
352,WIS,176
353,WSA,28
354,WSB,239
355,WVA,153
356,WYO,146
357,XMS,15
358,YAK,168
359,YEM,99
360,YUG,589
361,YUK,93
362,ZAI,154
363,ZAM,111
364,ZIM,124
