,taxon_name_w_authors,v12_accepted_name_w_author,v14_taxon_name_w_authors,v14_chained_accepted_name_w_author,v14_chained_accepted_species,v14_direct_accepted_name_w_author,v14_direct_accepted_species
2284,Cynanchum peruvianum (Schltr.) Morillo,Orthosia scoparia (Nutt.) Liede & Meve,Orthosia scoparia (Nutt.) Liede & Meve,Orthosia scoparia (Nutt.) Liede & Meve,Orthosia scoparia,Orthosia peruviana (Schltr.) Liede & Meve,Orthosia peruviana
2872,Populus nigra var. charkowiensis (R.I.Schröd.) Hyl.,Populus nigra subsp. nigra,Populus nigra subsp. nigra,Populus nigra subsp. nigra,Populus nigra,Populus × steiniana Bornm.,Populus × steiniana
2976,Morus alba var. stylosa Bureau,Morus indica L.,Morus indica L.,Morus indica L.,Morus indica,Morus acidosa Griff.,Morus acidosa
3089,Panicum tricholaenoides var. flavomarginatum (Mez) Zuloaga,Panicum tricholaenoides Steud.,Panicum tricholaenoides Steud.,Panicum tricholaenoides Steud.,Panicum tricholaenoides,Panicum tricholaenoides var. flavomarginatum (Mez) Zuloaga,Panicum tricholaenoides
3185,Lewisia glandulosa (Rydb.) S.Clay,Lewisia pygmaea (A.Gray) B.L.Rob.,Lewisia pygmaea (A.Gray) B.L.Rob.,Lewisia pygmaea (A.Gray) B.L.Rob.,Lewisia pygmaea,Lewisia glandulosa (Rydb.) S.Clay,Lewisia glandulosa
3198,Crotalaria rotundifolia var. linaria (Small) Fernald & B.G.Schub.,Crotalaria rotundifolia J.F.Gmel.,Crotalaria rotundifolia J.F.Gmel.,Crotalaria rotundifolia J.F.Gmel.,Crotalaria rotundifolia,Crotalaria rotundifolia var. linaria (Small) Fernald & B.G.Schub.,Crotalaria rotundifolia
3338,Crotalaria maritima var. linaria (Small) H.Senn,Crotalaria rotundifolia J.F.Gmel.,Crotalaria rotundifolia J.F.Gmel.,Crotalaria rotundifolia J.F.Gmel.,Crotalaria rotundifolia,Crotalaria rotundifolia var. linaria (Small) Fernald & B.G.Schub.,Crotalaria rotundifolia
3342,Lewisia pygmaea subsp. glandulosa (Rydb.) Ferris,Lewisia pygmaea (A.Gray) B.L.Rob.,Lewisia pygmaea (A.Gray) B.L.Rob.,Lewisia pygmaea (A.Gray) B.L.Rob.,Lewisia pygmaea,Lewisia glandulosa (Rydb.) S.Clay,Lewisia glandulosa
3372,Sulcorebutia brevispina (F.H.Brandt) Pilbeam,Rebutia canigueralii Cárdenas,Rebutia canigueralii Cárdenas,Weingartia canigueralii (Cárdenas) F.H.Brandt,Weingartia canigueralii,Weingartia losenickyana (Rausch) F.H.Brandt,Weingartia losenickyana
3373,Sulcorebutia verticillacantha f. brevispina (F.H.Brandt) Pilbeam,Rebutia canigueralii Cárdenas,Rebutia canigueralii Cárdenas,Weingartia canigueralii (Cárdenas) F.H.Brandt,Weingartia canigueralii,Weingartia losenickyana (Rausch) F.H.Brandt,Weingartia losenickyana
3374,Sulcorebutia canigueralii subsp. brevispina (F.H.Brandt) Horáček,Rebutia canigueralii Cárdenas,Rebutia canigueralii Cárdenas,Weingartia canigueralii (Cárdenas) F.H.Brandt,Weingartia canigueralii,Weingartia losenickyana (Rausch) F.H.Brandt,Weingartia losenickyana
3546,Juniperus communis subsp. intermedia (Schur) K.Richt.,Juniperus communis var. depressa Pursh,Juniperus communis var. depressa Pursh,Juniperus communis var. depressa Pursh,Juniperus communis,Juniperus communis nothovar. intermedia (Schur) Nyman,Juniperus communis
3547,Juniperus communis f. intermedia (Schur) Sanio,Juniperus communis var. depressa Pursh,Juniperus communis var. depressa Pursh,Juniperus communis var. depressa Pursh,Juniperus communis,Juniperus communis nothovar. intermedia (Schur) Nyman,Juniperus communis
