,taxon_name_w_authors,v12_accepted_name_w_author,v14_taxon_name_w_authors,v14_chained_accepted_name_w_author,v14_chained_accepted_species,v14_direct_accepted_name_w_author,v14_direct_accepted_species,v14_chained_accepted_genus,v14_direct_accepted_genus
2284,Cynanchum peruvianum (Schltr.) Morillo,Orthosia scoparia (Nutt.) Liede & Meve,Orthosia scoparia (Nutt.) Liede & Meve,Orthosia scoparia (Nutt.) Liede & Meve,Orthosia scoparia,Orthosia peruviana (Schltr.) Liede & Meve,Orthosia peruviana,Orthosia,Orthosia
2872,Populus nigra var. charkowiensis (R.I.Schröd.) Hyl.,Populus nigra subsp. nigra,Populus nigra subsp. nigra,Populus nigra subsp. nigra,Populus nigra,Populus × steiniana Bornm.,Populus × steiniana,Populus,Populus
2976,Morus alba var. stylosa Bureau,Morus indica L.,Morus indica L.,Morus indica L.,Morus indica,Morus acidosa Griff.,Morus acidosa,Morus,Morus
3185,Lewisia glandulosa (Rydb.) S.Clay,Lewisia pygmaea (A.Gray) B.L.Rob.,Lewisia pygmaea (A.Gray) B.L.Rob.,Lewisia pygmaea (A.Gray) B.L.Rob.,Lewisia pygmaea,Lewisia glandulosa (Rydb.) S.Clay,Lewisia glandulosa,Lewisia,Lewisia
3342,Lewisia pygmaea subsp. glandulosa (Rydb.) Ferris,Lewisia pygmaea (A.Gray) B.L.Rob.,Lewisia pygmaea (A.Gray) B.L.Rob.,Lewisia pygmaea (A.Gray) B.L.Rob.,Lewisia pygmaea,Lewisia glandulosa (Rydb.) S.Clay,Lewisia glandulosa,Lewisia,Lewisia
3372,Sulcorebutia brevispina (F.H.Brandt) Pilbeam,Rebutia canigueralii Cárdenas,Rebutia canigueralii Cárdenas,Weingartia canigueralii (Cárdenas) F.H.Brandt,Weingartia canigueralii,Weingartia losenickyana (Rausch) F.H.Brandt,Weingartia losenickyana,Weingartia,Weingartia
3373,Sulcorebutia verticillacantha f. brevispina (F.H.Brandt) Pilbeam,Rebutia canigueralii Cárdenas,Rebutia canigueralii Cárdenas,Weingartia canigueralii (Cárdenas) F.H.Brandt,Weingartia canigueralii,Weingartia losenickyana (Rausch) F.H.Brandt,Weingartia losenickyana,Weingartia,Weingartia
3374,Sulcorebutia canigueralii subsp. brevispina (F.H.Brandt) Horáček,Rebutia canigueralii Cárdenas,Rebutia canigueralii Cárdenas,Weingartia canigueralii (Cárdenas) F.H.Brandt,Weingartia canigueralii,Weingartia losenickyana (Rausch) F.H.Brandt,Weingartia losenickyana,Weingartia,Weingartia
4086,Litsea fawcettiana (F.Muell.) B.Hyland,Litsea reticulata (Meisn.) Benth. & Hook.f. ex F.Muell.,Litsea reticulata (Meisn.) Benth. & Hook.f. ex F.Muell.,Litsea reticulata (Meisn.) Benth. & Hook.f. ex F.Muell.,Litsea reticulata,Litsea fawcettiana (F.Muell.) B.Hyland,Litsea fawcettiana,Litsea,Litsea
4256,Mesembryanthemum lacunatum N.E.Br.,Eberlanzia schneideriana (A.Berger) H.E.K.Hartmann,Eberlanzia schneideriana (A.Berger) H.E.K.Hartmann,Eberlanzia schneideriana (A.Berger) H.E.K.Hartmann,Eberlanzia schneideriana,Eberlanzia velutina (L.Bolus) Klak & P.C.van Wyk,Eberlanzia velutina,Eberlanzia,Eberlanzia
4739,Achillea millefolium var. puberula (Rydb.) Ferris,Achillea millefolium subsp. millefolium,Achillea millefolium subsp. millefolium,Achillea millefolium subsp. millefolium,Achillea millefolium,Achillea borealis var. borealis,Achillea borealis,Achillea,Achillea
4860,Crepis sibirica var. blattarioides (L.) L.,Crepis pyrenaica (L.) Greuter,Crepis pyrenaica (L.) Greuter,Crepis pyrenaica (L.) Greuter,Crepis pyrenaica,Crepis blattarioides (L.) Vill.,Crepis blattarioides,Crepis,Crepis
4861,Hieracium pyrenaicum var. blattarioides (L.) L.,Crepis pyrenaica (L.) Greuter,Crepis pyrenaica (L.) Greuter,Crepis pyrenaica (L.) Greuter,Crepis pyrenaica,Crepis blattarioides (L.) Vill.,Crepis blattarioides,Crepis,Crepis
4872,Soyeria blattarioides (L.) Monnier,Crepis pyrenaica (L.) Greuter,Crepis pyrenaica (L.) Greuter,Crepis pyrenaica (L.) Greuter,Crepis pyrenaica,Crepis blattarioides (L.) Vill.,Crepis blattarioides,Crepis,Crepis
5059,Senecio spinescens (DC.) Sch.Bip.,Othonna spinescens DC.,Othonna spinescens DC.,Othonna spinescens DC.,Othonna spinescens,Othonna rhamnoides Sch.Bip.,Othonna rhamnoides,Othonna,Othonna
