,v10_v14
number of old accepted species names,356292
old accepted species names are no longer accepted,7640
Number which are now Unplaced of which (homotypic)/(heterotypic),270/0/270
Number which are now Synonym of which (homotypic)/(heterotypic),7050/4321/2730
Number which are now Illegitimate of which (homotypic)/(heterotypic),265/125/140
Number which are now Invalid of which (homotypic)/(heterotypic),50/2/48
Number which are now Misapplied of which (homotypic)/(heterotypic),5/2/3
Number which are now Orthographic of which (homotypic)/(heterotypic),4/0/4
