,v12_v14
number of old unaccepted species names,669726
old unaccepted species names are now accepted,2873
Number of old Synonyms which are now accepted,2352
Number of old Unplaceds which are now accepted,317
Number of old Illegitimates which are now accepted,178
Number of old Invalids which are now accepted,23
Number of old Misapplieds which are now accepted,5
