,v11_v13
number of old accepted species names,358191
old accepted species names are no longer accepted,3967
Number which are now Unplaced of which (homotypic)/(heterotypic),191/0/191
Number which are now Synonym of which (homotypic)/(heterotypic),3525/2122/1403
Number which are now Illegitimate of which (homotypic)/(heterotypic),212/87/125
Number which are now Invalid of which (homotypic)/(heterotypic),37/2/35
Number which are now Misapplied of which (homotypic)/(heterotypic),5/2/3
Number which are now Orthographic of which (homotypic)/(heterotypic),1/0/1
