,201807_202312,Percentages
original_names,1051028,100.0
total_disagreements,54960,5.229166111654495
species_disagreements,18104,1.7225040626891006
genus_disagreements,3204,0.3048443999588974
unresolved_via_chaining_despite_a_direct_resolution,0,0.0
