,taxon_name_w_authors,v13_direct_accepted_name_w_author,v13_direct_accepted_species
count,1358637,1358637,1317496
unique,1358637,428028,357312
top,Cincinalis tomentosa Desv.,Rosa canina L.,Rosa canina
freq,1,1082,1082
