,v11_v13,Percentages
original_names,1367679,100.0
total_disagreements,6849,0.5007754012454677
species_disagreements,2915,0.21313480721719058
genus_disagreements,224,0.016378112115489087
unresolved_via_chaining_despite_a_direct_resolution,11,0.0008042822913856249
