,v12_v13
number of old unaccepted species names,669726
old unaccepted species names are now accepted,980
Number of old Synonyms which are now accepted,663
Number of old Illegitimates which are now accepted,171
Number of old Invalids which are now accepted,20
Number of old Unplaceds which are now accepted,121
Number of old Misapplieds which are now accepted,5
