,v12_v14
number of new accepted species names,364367
number of old accepted species names,358923
new accepted species names which were previously published,354889
number of new species names,1039899
number of old species names,1028366
new species names not in old,19237
species names have disappearedbut this could be due to orthographic changes with authorship,7704
