,v13_v14
number of old accepted species names,361633
old accepted species names are no longer accepted,3140
Number which are now Synonym of which (homotypic)/(heterotypic),2774/1850/925
Number which are now Illegitimate of which (homotypic)/(heterotypic),189/73/116
Number which are now Unplaced of which (homotypic)/(heterotypic),145/0/145
Number which are now Invalid of which (homotypic)/(heterotypic),25/1/24
Number which are now Misapplied of which (homotypic)/(heterotypic),5/2/3
Number which are now Orthographic of which (homotypic)/(heterotypic),2/0/2
