,201905_202207
number of new accepted species names,418152
number of old accepted species names,370669
new accepted species names which were previously published,277871
number of new species names,965735
number of old species names,807543
new species names not in old,306246
species names have disappearedbut this could be due to orthographic changes with authorship,148054
