,202306_202406
number of new accepted species names,422863
number of old accepted species names,414787
new accepted species names which were previously published,349664
number of new species names,1037275
number of old species names,1013334
new species names not in old,77990
species names have disappearedbut this could be due to orthographic changes with authorship,54049
