,taxon_name_w_authors,v13_accepted_name_w_author,v14_taxon_name_w_authors,v14_chained_accepted_name_w_author,v14_chained_accepted_species,v14_direct_accepted_name_w_author,v14_direct_accepted_species
1786,Phanera corymbosa var. longipes (Hosok.) X.Y.Zhu,Cheniella corymbosa (Roxb. ex DC.) R.Clark & Mackinder,Cheniella corymbosa (Roxb. ex DC.) R.Clark & Mackinder,Cheniella corymbosa (Roxb. ex DC.) R.Clark & Mackinder,Cheniella corymbosa,"Cheniella longipes (Hosok.) S.R.Gu, T.Y.Tu & D.X.Zhang",Cheniella longipes
2067,Neoporteria curvispina f. descendens (F.Ritter) Donald & G.D.Rowley,Eriosyce curvispina subsp. curvispina,Eriosyce curvispina subsp. curvispina,Eriosyce curvispina (Bertero ex Colla) Katt.,Eriosyce curvispina,Eriosyce andicola (F.Ritter) P.C.Guerrero & Helmut Walter,Eriosyce andicola
2068,Pyrrhocactus andicola var. descendens (F.Ritter) F.Ritter,Eriosyce curvispina subsp. curvispina,Eriosyce curvispina subsp. curvispina,Eriosyce curvispina (Bertero ex Colla) Katt.,Eriosyce curvispina,Eriosyce andicola (F.Ritter) P.C.Guerrero & Helmut Walter,Eriosyce andicola
2195,Rubus radula microgène trachycaulon (Sudre) Sudre,Rubus radula Weihe,Rubus radula Weihe,Rubus radula Weihe,Rubus radula,Rubus trachycaulon (Sudre) Malinv.,Rubus trachycaulon
2196,Rubus radula var. trachycaulon (Sudre) Nyár.,Rubus radula Weihe,Rubus radula Weihe,Rubus radula Weihe,Rubus radula,Rubus trachycaulon (Sudre) Malinv.,Rubus trachycaulon
3003,Orchis coriophora var. fragrans (Pollini) Boiss.,"Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase",Anacamptis coriophora,Anacamptis fragrans (Pollini) R.M.Bateman,Anacamptis fragrans
3004,Orchis coriophora proles fragrans (Pollini) Rouy,"Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase",Anacamptis coriophora,Anacamptis fragrans (Pollini) R.M.Bateman,Anacamptis fragrans
3005,Anacamptis fragrans (Pollini) R.M.Bateman,"Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase",Anacamptis coriophora,Anacamptis fragrans (Pollini) R.M.Bateman,Anacamptis fragrans
3006,Orchis coriophora subsp. fragrans (Pollini) K.Richt.,"Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase",Anacamptis coriophora,Anacamptis fragrans (Pollini) R.M.Bateman,Anacamptis fragrans
3007,Herorchis coriophora subsp. fragrans (Pollini) D.Tyteca & E.Klein,"Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase",Anacamptis coriophora,Anacamptis fragrans (Pollini) R.M.Bateman,Anacamptis fragrans
3008,Anteriorchis fragrans (Pollini) Szlach.,"Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase",Anacamptis coriophora,Anacamptis fragrans (Pollini) R.M.Bateman,Anacamptis fragrans
3009,"Anacamptis coriophora subsp. fragrans (Pollini) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase",Anacamptis coriophora,Anacamptis fragrans (Pollini) R.M.Bateman,Anacamptis fragrans
3010,Anteriorchis coriophora subsp. fragrans (Pollini) Jacquet,"Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase",Anacamptis coriophora,Anacamptis fragrans (Pollini) R.M.Bateman,Anacamptis fragrans
3028,Phleum rhaeticum (Humphries) Rauschert,Phleum alpinum L.,Phleum alpinum L.,Phleum alpinum L.,Phleum alpinum,Phleum rhaeticum (Humphries) Rauschert,Phleum rhaeticum
3043,Trifurcia lahue subsp. caerulea (Herb.) Goldblatt,Herbertia lahue (Molina) Goldblatt,Herbertia lahue (Molina) Goldblatt,Herbertia lahue (Molina) Goldblatt,Herbertia lahue,Herbertia caerulea (Herb.) Herb.,Herbertia caerulea
3044,Alophia lahue subsp. caerulea (Herb.) Ravenna,Herbertia lahue (Molina) Goldblatt,Herbertia lahue (Molina) Goldblatt,Herbertia lahue (Molina) Goldblatt,Herbertia lahue,Herbertia caerulea (Herb.) Herb.,Herbertia caerulea
3190,Alophia caerulea (Herb.) Mottet,Herbertia lahue (Molina) Goldblatt,Herbertia lahue (Molina) Goldblatt,Herbertia lahue (Molina) Goldblatt,Herbertia lahue,Herbertia caerulea (Herb.) Herb.,Herbertia caerulea
3279,Chusua nana (King & Pantl.) Pradhan,Hemipilia chusua (D.Don) Y.Tang & H.Peng,Hemipilia chusua (D.Don) Y.Tang & H.Peng,Hemipilia chusua (D.Don) Y.Tang & H.Peng,Hemipilia chusua,Hemipilia nana (King & Pantl.) J.M.H.Shaw,Hemipilia nana
3280,Chusua roborowskyi var. nana (King & Pantl.) P.F.Hunt,Hemipilia chusua (D.Don) Y.Tang & H.Peng,Hemipilia chusua (D.Don) Y.Tang & H.Peng,Hemipilia chusua (D.Don) Y.Tang & H.Peng,Hemipilia chusua,Hemipilia nana (King & Pantl.) J.M.H.Shaw,Hemipilia nana
3299,Hedyotis capitellata var. mollis (Pierre ex Pit.) T.N.Ninh,Dimetia capitellata (Wall. ex G.Don) Neupane & N.Wikstr.,Dimetia capitellata (Wall. ex G.Don) Neupane & N.Wikstr.,Dimetia capitellata (Wall. ex G.Don) Neupane & N.Wikstr.,Dimetia capitellata,Dimetia capitellata var. capitellata,Dimetia capitellata
3488,Potentilla pensylvanica var. nudicaulis (Willd. ex Schltdl.) Lehm.,Potentilla tanacetifolia Willd. ex D.F.K.Schltdl.,Potentilla tanacetifolia Willd. ex D.F.K.Schltdl.,Potentilla tanacetifolia Willd. ex D.F.K.Schltdl.,Potentilla tanacetifolia,Potentilla × nudicaulis Willd. ex D.F.K.Schltdl.,Potentilla × nudicaulis
