,taxon_name_w_authors,v13_accepted_name_w_author,v14_taxon_name_w_authors,v14_chained_accepted_name_w_author,v14_chained_accepted_species,v14_direct_accepted_name_w_author,v14_direct_accepted_species,v14_chained_accepted_genus,v14_direct_accepted_genus
1786,Phanera corymbosa var. longipes (Hosok.) X.Y.Zhu,Cheniella corymbosa (Roxb. ex DC.) R.Clark & Mackinder,Cheniella corymbosa (Roxb. ex DC.) R.Clark & Mackinder,Cheniella corymbosa (Roxb. ex DC.) R.Clark & Mackinder,Cheniella corymbosa,"Cheniella longipes (Hosok.) S.R.Gu, T.Y.Tu & D.X.Zhang",Cheniella longipes,Cheniella,Cheniella
2067,Neoporteria curvispina f. descendens (F.Ritter) Donald & G.D.Rowley,Eriosyce curvispina subsp. curvispina,Eriosyce curvispina subsp. curvispina,Eriosyce curvispina (Bertero ex Colla) Katt.,Eriosyce curvispina,Eriosyce andicola (F.Ritter) P.C.Guerrero & Helmut Walter,Eriosyce andicola,Eriosyce,Eriosyce
2068,Pyrrhocactus andicola var. descendens (F.Ritter) F.Ritter,Eriosyce curvispina subsp. curvispina,Eriosyce curvispina subsp. curvispina,Eriosyce curvispina (Bertero ex Colla) Katt.,Eriosyce curvispina,Eriosyce andicola (F.Ritter) P.C.Guerrero & Helmut Walter,Eriosyce andicola,Eriosyce,Eriosyce
2195,Rubus radula microgène trachycaulon (Sudre) Sudre,Rubus radula Weihe,Rubus radula Weihe,Rubus radula Weihe,Rubus radula,Rubus trachycaulon (Sudre) Malinv.,Rubus trachycaulon,Rubus,Rubus
2196,Rubus radula var. trachycaulon (Sudre) Nyár.,Rubus radula Weihe,Rubus radula Weihe,Rubus radula Weihe,Rubus radula,Rubus trachycaulon (Sudre) Malinv.,Rubus trachycaulon,Rubus,Rubus
3003,Orchis coriophora var. fragrans (Pollini) Boiss.,"Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase",Anacamptis coriophora,Anacamptis fragrans (Pollini) R.M.Bateman,Anacamptis fragrans,Anacamptis,Anacamptis
3004,Orchis coriophora proles fragrans (Pollini) Rouy,"Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase",Anacamptis coriophora,Anacamptis fragrans (Pollini) R.M.Bateman,Anacamptis fragrans,Anacamptis,Anacamptis
3005,Anacamptis fragrans (Pollini) R.M.Bateman,"Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase",Anacamptis coriophora,Anacamptis fragrans (Pollini) R.M.Bateman,Anacamptis fragrans,Anacamptis,Anacamptis
3006,Orchis coriophora subsp. fragrans (Pollini) K.Richt.,"Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase",Anacamptis coriophora,Anacamptis fragrans (Pollini) R.M.Bateman,Anacamptis fragrans,Anacamptis,Anacamptis
3007,Herorchis coriophora subsp. fragrans (Pollini) D.Tyteca & E.Klein,"Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase",Anacamptis coriophora,Anacamptis fragrans (Pollini) R.M.Bateman,Anacamptis fragrans,Anacamptis,Anacamptis
