,taxon_name_w_authors,v13_accepted_name_w_author,v14_taxon_name_w_authors,v14_chained_accepted_name_w_author,v14_chained_accepted_species
count,1373873,1373873,1373873,1373584,1332342
unique,1373873,431266,431266,430033,359691
top,Cincinalis tomentosa Desv.,Rosa canina L.,Rosa canina L.,Rosa canina L.,Rosa canina
freq,1,1122,1122,1122,1122
