,202207_202412,Percentages
original_names,1254030,100.0
total_disagreements,53238,4.245352981986077
species_disagreements,18896,1.5068220058531294
genus_disagreements,4761,0.37965598909117004
unresolved_via_chaining_despite_a_direct_resolution,0,0.0
