,taxon_name_w_authors,previous_chain_accepted_name_w_author,202406_taxon_name_w_authors,202406_chained_accepted_name_w_author,202406_chained_accepted_species,202406_direct_accepted_name_w_author,202406_direct_accepted_species,202406_chained_accepted_genus,202406_direct_accepted_genus
42,Aequatorium cajamarcense H.Rob. & Cuatrec.,Nordenstamia cajamarcensis (H.Rob. & Cuatrec.) B.Nord.,Nordenstamia cajamarcensis (H.Rob. & Cuatrec.) B.Nord.,Nordenstamia cajamarcensis (H.Rob. & Cuatrec.) B.Nord.,Nordenstamia cajamarcensis,Aequatorium cajamarcense H.Rob. & Cuatrec.,Aequatorium cajamarcense,Nordenstamia,Aequatorium
53,Vernonia setosquamosa Hieron.,Lepidaploa remotiflora (Rich.) H.Rob.,Lepidaploa remotiflora (Rich.) H.Rob.,Lepidaploa remotiflora (Rich.) H.Rob.,Lepidaploa remotiflora,Vernonia setosquamosa Hieron.,Vernonia setosquamosa,Lepidaploa,Vernonia
152,Centaurea holophylla Soczava & Lipatova,Psephellus holophyllus (Soczava & Lipatova) Greuter,Psephellus holophyllus (Soczava & Lipatova) Greuter,Psephellus holophyllus (Soczava & Lipatova) Greuter,Psephellus holophyllus,Centaurea holophylla Soczava & Lipatova,Centaurea holophylla,Psephellus,Centaurea
177,Inula kitamurana Tatew. ex Honda,"Pentanema salicinum (L.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort.","Pentanema salicinum (L.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort.","Pentanema salicinum (L.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort.",Pentanema salicinum,Inula salicina L.,Inula salicina,Pentanema,Inula
182,Cacalia saligna Kuntze,Acilepis saligna (DC.) H.Rob.,Acilepis saligna (DC.) H.Rob.,Acilepis saligna (DC.) H.Rob.,Acilepis saligna,Vernonia saligna DC.,Vernonia saligna,Acilepis,Vernonia
283,Lactuca alpina (L.) A.Gray,Cicerbita alpina Wallr.,Cicerbita alpina Wallr.,Cicerbita alpina Wallr.,Cicerbita alpina,Lactuca alpina (L.) A.Gray,Lactuca alpina,Cicerbita,Lactuca
322,Gamochaeta standleyi (Steyerm.) G.L.Nesom,Pseudognaphalium standleyi (Steyerm.) G.L.Nesom,Pseudognaphalium standleyi (Steyerm.) G.L.Nesom,Pseudognaphalium standleyi (Steyerm.) G.L.Nesom,Pseudognaphalium standleyi,Gamochaeta standleyi (Steyerm.) G.L.Nesom,Gamochaeta standleyi,Pseudognaphalium,Gamochaeta
412,Trichocline beckeri B.L.Rob.,Chaptalia hieracioides (Kunth) X.D.Xu & W.Zheng,Chaptalia hieracioides (Kunth) X.D.Xu & W.Zheng,Chaptalia hieracioides (Kunth) X.D.Xu & W.Zheng,Chaptalia hieracioides,Trichocline hieracioides (Kunth) Ferreyra,Trichocline hieracioides,Chaptalia,Trichocline
447,Calendula glabrata Thunb.,Osteospermum oppositifolium (Ait.) Norl.,Osteospermum oppositifolium (Ait.) Norl.,Osteospermum oppositifolium (Ait.) Norl.,Osteospermum oppositifolium,Tripteris oppositifolia (Aiton) B.Nord.,Tripteris oppositifolia,Osteospermum,Tripteris
471,Senecio rowleyanus H.Jacobsen,Curio rowleyanus (H.Jacobsen) P.V.Heath,Curio rowleyanus (H.Jacobsen) P.V.Heath,Kleinia rowleyana (H.Jacobsen) G.Kunkel,Kleinia rowleyana,Senecio rowleyanus H.Jacobsen,Senecio rowleyanus,Kleinia,Senecio
474,Anthemis mucronulata K.Koch,Tripleurospermum breviradiatum (Ledeb.) Pobed.,Tripleurospermum breviradiatum (Ledeb.) Pobed.,Matricaria breviradiata (Ledeb.) Rauschert,Matricaria breviradiata,Tripleurospermum caucasicum (Willd.) Hayek,Tripleurospermum caucasicum,Matricaria,Tripleurospermum
513,Aster spathularis Steud.,"Pentanema salicinum (L.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort.","Pentanema salicinum (L.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort.","Pentanema salicinum (L.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort.",Pentanema salicinum,Inula salicina L.,Inula salicina,Pentanema,Inula
542,Trixis erosa Sw.,Clibadium erosum (Sw.) DC.,Clibadium erosum (Sw.) DC.,Clibadium erosum (Sw.) DC.,Clibadium erosum,Trixis erosa Sw.,Trixis erosa,Clibadium,Trixis
566,Hymenostephium mexicanum Benth.,Hymenostephium cordatum S.F.Blake,Hymenostephium cordatum S.F.Blake,Hymenostephium cordatum S.F.Blake,Hymenostephium cordatum,Viguiera cordata (Hook. & Arn.) D'Arcy,Viguiera cordata,Hymenostephium,Viguiera
