,taxon_name_w_authors,previous_chain_accepted_name_w_author,202406_taxon_name_w_authors,202406_chained_accepted_name_w_author,202406_chained_accepted_species,202406_direct_accepted_name_w_author,202406_direct_accepted_species,202406_chained_accepted_genus,202406_direct_accepted_genus
568,Proustia vanillosma C.Wright,Berylsimpsonia vanillosma (C.Wright) B.L.Turner,Berylsimpsonia vanillosma (C.Wright) B.L.Turner,Berylsimpsonia vanillosma (C.Wright) B.L.Turner,Berylsimpsonia vanillosma,Proustia vanillosma C.Wright,Proustia vanillosma,Berylsimpsonia,Proustia
578,Senecio scrobicaria DC.,Scrobicaria ilicifolia (L.f.) B.Nord.,Scrobicaria ilicifolia (L.f.) B.Nord.,Scrobicaria ilicifolia (L.f.) B.Nord.,Scrobicaria ilicifolia,Senecio scrobicaria DC.,Senecio scrobicaria,Scrobicaria,Senecio
593,Senecio candidissimus Greene,Packera candidissima (Greene) W.A.Weber & Á.Löve,Packera candidissima (Greene) W.A.Weber & Á.Löve,Packera candidissima (Greene) W.A.Weber & Á.Löve,Packera candidissima,Senecio candidissimus Greene,Senecio candidissimus,Packera,Senecio
679,Bidens hivoana O.Deg. & Sherff,Oparanthus hivoanus (O.Deg. & Sherff) R.K.Shannon & W.L.Wagner,Oparanthus hivoanus (O.Deg. & Sherff) R.K.Shannon & W.L.Wagner,Oparanthus hivoanus (O.Deg. & Sherff) R.K.Shannon & W.L.Wagner,Oparanthus hivoanus,Bidens hivoana O.Deg. & Sherff,Bidens hivoana,Oparanthus,Bidens
730,Centaurea chilensis Bertero ex Hook. & Arn.,Plectocephalus chilensis G.Don ex Loudon,Plectocephalus chilensis G.Don ex Loudon,Plectocephalus chilensis G.Don ex Loudon,Plectocephalus chilensis,Centaurea chilensis Bertero ex Hook. & Arn.,Centaurea chilensis,Plectocephalus,Centaurea
733,Cacalia jugalis Kuntze,Ambassa hochstetteri Steetz,Ambassa hochstetteri Steetz,Ambassa hochstetteri Steetz,Ambassa hochstetteri,Vernonia hochstetteri var. hochstetteri ,Vernonia hochstetteri,Ambassa,Vernonia
757,Cacalia candolleana Kuntze,Vernonia conyzoides DC.,Vernonia conyzoides DC.,Cyanthillium conyzoides (DC.) H.Rob.,Cyanthillium conyzoides,Vernonia candolleana Wight & Arn.,Vernonia candolleana,Cyanthillium,Vernonia
762,Aster oldhamii Hemsl.,Aster hispidus Thunb.,Aster hispidus Thunb.,Aster hispidus Thunb.,Aster hispidus,Kalimeris hispida Nees,Kalimeris hispida,Aster,Kalimeris
899,Werneria ciliata Wedd. ex Sch.Bip.,Werneria pectinata Lingelsh.,Werneria pectinata Lingelsh.,Werneria pectinata Lingelsh.,Werneria pectinata,Xenophyllum ciliolatum (A.Gray) V.A.Funk,Xenophyllum ciliolatum,Werneria,Xenophyllum
938,Senecio porphyranthus Schischk.,Tephroseris porphyrantha (Sisk.) Holub,Tephroseris porphyrantha (Sisk.) Holub,Tephroseris porphyrantha (Sisk.) Holub,Tephroseris porphyrantha,Senecio porphyranthus Schischk.,Senecio porphyranthus,Tephroseris,Senecio
961,Cineraria spathulata Lam.,Hertia alata (Thunb.) Kuntze,Hertia alata (Thunb.) Kuntze,Hertia alata (Thunb.) Kuntze,Hertia alata,Othonna alata (Thunb.) Sch.Bip.,Othonna alata,Hertia,Othonna
977,Ageratina purpusii (Brandegee) R.M.King & H.Rob.,Ageratina grandifolia (Regel) R.M.King & H.Rob.,Ageratina grandifolia (Regel) R.M.King & H.Rob.,Ageratina grandifolia (Regel) R.M.King & H.Rob.,Ageratina grandifolia,Fleischmannia purpusii R.M.King & H.Rob.,Fleischmannia purpusii,Ageratina,Fleischmannia
984,Vernonia andersonii A.Henry,Decaneuropsis gratiosa (Hance) H.Rob. & Skvarla,Decaneuropsis gratiosa (Hance) H.Rob. & Skvarla,Decaneuropsis gratiosa (Hance) H.Rob. & Skvarla,Decaneuropsis gratiosa,Vernonia gratiosa Hance,Vernonia gratiosa,Decaneuropsis,Vernonia
1045,Viguiera bombycina S.F.Blake,Davilanthus sericeus (Klatt) E.E.Schill. & Panero,Davilanthus sericeus (Klatt) E.E.Schill. & Panero,Davilanthus sericeus (Klatt) E.E.Schill. & Panero,Davilanthus sericeus,Viguiera bombycina S.F.Blake,Viguiera bombycina,Davilanthus,Viguiera
1107,Tripterachaenium humile Kuntze,Osteospermum scariosum subsp. scariosum ,Osteospermum scariosum subsp. scariosum ,Osteospermum scariosum DC.,Osteospermum scariosum,Tripteris aghillana var. aghillana ,Tripteris aghillana,Osteospermum,Tripteris
1120,Artemisia mutabilis Salisb.,Seriphidium santonicum subsp. santonicum ,Seriphidium santonicum subsp. santonicum ,Seriphidium santonicum subsp. santonicum ,Seriphidium santonicum,Artemisia santonicum L.,Artemisia santonicum,Seriphidium,Artemisia
1175,Saussurea fastuosa (Decne.) Sch.Bip.,Shangwua denticulata (DC.) Raab-Straube & Yu J.Wang,Shangwua denticulata (DC.) Raab-Straube & Yu J.Wang,Shangwua denticulata (DC.) Raab-Straube & Yu J.Wang,Shangwua denticulata,Saussurea fastuosa (Decne.) Sch.Bip.,Saussurea fastuosa,Shangwua,Saussurea
1178,Chrysanthemum ramosum (C.C.Chang) H.Ohashi & Yonek.,Ajania ramosa (Chang) C.Shih,Ajania ramosa (Chang) C.Shih,Ajania ramosa (Chang) C.Shih,Ajania ramosa,Chrysanthemum ramosum (C.C.Chang) H.Ohashi & Yonek.,Chrysanthemum ramosum,Ajania,Chrysanthemum
1196,Conyza pinnata (L.f.) Kuntze,Nidorella pinnata (L.f.) J.C.Manning & Goldblatt,Nidorella pinnata (L.f.) J.C.Manning & Goldblatt,Nidorella pinnata (L.f.) J.C.Manning & Goldblatt,Nidorella pinnata,Conyza pinnata (L.f.) Kuntze,Conyza pinnata,Nidorella,Conyza
1251,Vernonia polyanthes Less.,Vernonanthura phosphorica (Vell.) H.Rob.,Vernonanthura phosphorica (Vell.) H.Rob.,Vernonanthura phosphorica (Vell.) H.Rob.,Vernonanthura phosphorica,Vernonia polyanthes Less.,Vernonia polyanthes,Vernonanthura,Vernonia
1344,Gnaphalium sandwicensium Gaudich.,Pseudognaphalium sandwicensium (Gaudich.) Anderb.,Pseudognaphalium sandwicensium (Gaudich.) Anderb.,Pseudognaphalium sandwicensium (Gaudich.) Anderb.,Pseudognaphalium sandwicensium,Gnaphalium sandwicensium Gaudich.,Gnaphalium sandwicensium,Pseudognaphalium,Gnaphalium
1360,Wedelia cordata Hook. & Arn.,Hymenostephium cordatum S.F.Blake,Hymenostephium cordatum S.F.Blake,Hymenostephium cordatum S.F.Blake,Hymenostephium cordatum,Viguiera cordata (Hook. & Arn.) D'Arcy,Viguiera cordata,Hymenostephium,Viguiera
1377,Cacalia blumeodes Kuntze,Orbivestus blumeoides (Hook.f.) Isawumi,Orbivestus blumeoides (Hook.f.) Isawumi,Orbivestus blumeoides (Hook.f.) Isawumi,Orbivestus blumeoides,Vernonia blumeoides Hook.f.,Vernonia blumeoides,Orbivestus,Vernonia
1416,Rhysolepis santacatarinensis H.Rob. & A.J.Moore,Viguiera santacatarinense (H.Rob. & A.J.Moore) A.A.Sáenz,Viguiera santacatarinense (H.Rob. & A.J.Moore) A.A.Sáenz,Viguiera santacatarinense (H.Rob. & A.J.Moore) A.A.Sáenz,Viguiera santacatarinense,Aldama santacatarinensis (H.Rob. & A.J.Moore) E.E.Schill. & Panero,Aldama santacatarinensis,Viguiera,Aldama
1445,Chamaemelum tetragonospermum F.Schmidt,Tripleurospermum tetragonospermum (F.Schmidt) Pobed.,Tripleurospermum tetragonospermum (F.Schmidt) Pobed.,Tripleurospermum tetragonospermum (F.Schmidt) Pobed.,Tripleurospermum tetragonospermum,Matricaria tetragonosperma (F.Schmidt) Hara & Kitam.,Matricaria tetragonosperma,Tripleurospermum,Matricaria
1469,Aequatorium tovarii H.Rob. & Cuatrec.,Nordenstamia tovarii (H.Rob. & Cuatrec.) B.Nord.,Nordenstamia tovarii (H.Rob. & Cuatrec.) B.Nord.,Nordenstamia tovarii (H.Rob. & Cuatrec.) B.Nord.,Nordenstamia tovarii,Aequatorium tovarii H.Rob. & Cuatrec.,Aequatorium tovarii,Nordenstamia,Aequatorium
1540,Vernonia arborescens (L.) Sw.,Lepidaploa arborescens (L.) H.Rob.,Lepidaploa arborescens (L.) H.Rob.,Lepidaploa arborescens (L.) H.Rob.,Lepidaploa arborescens,Vernonia arborescens (L.) Sw.,Vernonia arborescens,Lepidaploa,Vernonia
1544,Conyza dunniana H.Lév.,Eschenbachia blinii (H.Lév.) Brouillet,Eschenbachia blinii (H.Lév.) Brouillet,Eschenbachia blinii (H.Lév.) Brouillet,Eschenbachia blinii,Conyza blinii H.Lév.,Conyza blinii,Eschenbachia,Conyza
1574,Lactuca sikkimensis (Hook.f.) Stebbins,Melanoseris violifolia (Decne.) N.Kilian,Melanoseris violifolia (Decne.) N.Kilian,Melanoseris violifolia (Decne.) N.Kilian,Melanoseris violifolia,Lactuca sikkimensis (Hook.f.) Stebbins,Lactuca sikkimensis,Melanoseris,Lactuca
1608,Chrysanthemum grandiflorum (Desf.) Dum.Cours.,Tanacetum balsamita L.,Tanacetum balsamita L.,Tanacetum balsamita L.,Tanacetum balsamita,Plagius grandis (L.) Alavi & Heywood,Plagius grandis,Tanacetum,Plagius
1700,Leibnitzia pusilla (Wall. ex DC.) S.Gould ex Kitam. & Gould,Oreoseris gossypina (Royle) X.D.Xu & V.A.Funk,Oreoseris gossypina (Royle) X.D.Xu & V.A.Funk,Oreoseris gossypina (Royle) X.D.Xu & V.A.Funk,Oreoseris gossypina,Leibnitzia pusilla (Wall. ex DC.) S.Gould ex Kitam. & Gould,Leibnitzia pusilla,Oreoseris,Leibnitzia
1720,Tanacetum karataviense Kovalevsk.,Tanacetopsis karataviensis (Kovalevsk.) Kovalevsk.,Tanacetopsis karataviensis (Kovalevsk.) Kovalevsk.,Tanacetopsis karataviensis (Kovalevsk.) Kovalevsk.,Tanacetopsis karataviensis,Tanacetum karataviense Kovalevsk.,Tanacetum karataviense,Tanacetopsis,Tanacetum
1799,Helichrysum leptolepis DC.,Leiocarpa leptolepis (DC.) Paul G.Wilson,Leiocarpa leptolepis (DC.) Paul G.Wilson,Leiocarpa leptolepis (DC.) Paul G.Wilson,Leiocarpa leptolepis,Helichrysum candolleanum H.Buek,Helichrysum candolleanum,Leiocarpa,Helichrysum
1836,Inula asperrima Edgew.,Duhaldea nervosa (Wall. ex DC.) Anderb.,Duhaldea nervosa (Wall. ex DC.) Anderb.,Duhaldea nervosa (Wall. ex DC.) Anderb.,Duhaldea nervosa,Inula nervosa Wall. ex DC.,Inula nervosa,Duhaldea,Inula
1982,Vernonia eminii O.Hoffm.,Inula eminii O.Hoffm.,Inula eminii O.Hoffm.,Inula eminii O.Hoffm.,Inula eminii,Vernonia eminii O.Hoffm.,Vernonia eminii,Inula,Vernonia
1992,Vernonia hoveifolia Gardner,Lessingianthus hoveaefolius (Gardner) H.Rob.,Lessingianthus hoveaefolius (Gardner) H.Rob.,Lessingianthus hoveaefolius (Gardner) H.Rob.,Lessingianthus hoveaefolius,Vernonia hoveifolia Gardner,Vernonia hoveifolia,Lessingianthus,Vernonia
2019,Stylesia ambrosioides (Lag.) Nutt.,Eriophyllum ambrosiodes Kuntze,Eriophyllum ambrosiodes Kuntze,Eriophyllum ambrosiodes Kuntze,Eriophyllum ambrosiodes,Bahia ambrosioides Lag.,Bahia ambrosioides,Eriophyllum,Bahia
2138,Filago parvula Torr. & A.Gray,Filago californica Nutt.,Filago californica Nutt.,Filago californica Nutt.,Filago californica,Logfia filaginoides (Hook. & Arn.) Morefield,Logfia filaginoides,Filago,Logfia
2173,Conyza coronopifolia Kunth,Erigeron variifolius S.F.Blake,Erigeron variifolius S.F.Blake,Erigeron variifolius S.F.Blake,Erigeron variifolius,Conyza coronopifolia Kunth,Conyza coronopifolia,Erigeron,Conyza
2195,Senecio hypoleucus Muschl.,Dendrosenecio adnivalis subsp. friesiorum (Mildbr.) E.B.Knox,Dendrosenecio adnivalis subsp. friesiorum (Mildbr.) E.B.Knox,Dendrosenecio adnivalis subsp. friesiorum (Mildbr.) E.B.Knox,Dendrosenecio adnivalis,Senecio hypoleucus Muschl.,Senecio hypoleucus,Dendrosenecio,Senecio
2204,Pluchea crenata Quézel,Microglossa pyrrhopappa (A.Rich.) Agnew,Microglossa pyrrhopappa (A.Rich.) Agnew,Microglossa pyrrhopappa (A.Rich.) Agnew,Microglossa pyrrhopappa,Conyza pyrrhopappa Sch.Bip. ex A.Rich.,Conyza pyrrhopappa,Microglossa,Conyza
2287,Cineraria caspica Pers.,Jacobaea racemosa subsp. racemosa ,Jacobaea racemosa subsp. racemosa ,Jacobaea racemosa subsp. racemosa ,Jacobaea racemosa,Senecio racemosus (M.Bieb.) DC.,Senecio racemosus,Jacobaea,Senecio
2344,Cirsium lamyroides Tamamsch.,Lamyropsis macracantha (Schrenk) Dittrich,Lamyropsis macracantha (Schrenk) Dittrich,Lamyropsis macracantha (Schrenk) Dittrich,Lamyropsis macracantha,Cirsium lamyroides Tamamsch.,Cirsium lamyroides,Lamyropsis,Cirsium
2348,Dichrocephala paniculata Miq.,Myriactis wightii DC.,Myriactis wightii DC.,Myriactis wightii DC.,Myriactis wightii,Dichrocephala integrifolia (L.f.) Kuntze,Dichrocephala integrifolia,Myriactis,Dichrocephala
2383,Aster erucifolius (Thell.) W.Lippert,Afroaster erucifolius (Thell.) J.C.Manning & Goldblatt,Afroaster erucifolius (Thell.) J.C.Manning & Goldblatt,Afroaster erucifolius (Thell.) J.C.Manning & Goldblatt,Afroaster erucifolius,Aster erucifolius (Thell.) W.Lippert,Aster erucifolius,Afroaster,Aster
2456,Centaurea nitens M.Bieb.,Callicephalus nitens (M.Bieb. ex Willd.) C.A.Mey.,Callicephalus nitens (M.Bieb. ex Willd.) C.A.Mey.,Callicephalus nitens (M.Bieb. ex Willd.) C.A.Mey.,Callicephalus nitens,Centaurea nitens M.Bieb.,Centaurea nitens,Callicephalus,Centaurea
2638,Conyza serratifolia Baker,Nidorella attenuata (DC.) J.C.Manning & Goldblatt,Nidorella attenuata (DC.) J.C.Manning & Goldblatt,Nidorella attenuata (DC.) J.C.Manning & Goldblatt,Nidorella attenuata,Conyza attenuata var. attenuata ,Conyza attenuata,Nidorella,Conyza
2639,Tripolium caricifolium (Kunth) S.Schauer,Almutaster pauciflorus (Nutt.) Á.Löve & D.Löve,Almutaster pauciflorus (Nutt.) Á.Löve & D.Löve,Almutaster pauciflorus (Nutt.) Á.Löve & D.Löve,Almutaster pauciflorus,Aster caricifolius Kunth,Aster caricifolius,Almutaster,Aster
2659,Lactuca racemosa Willd.,Cicerbita racemosa Beauverd,Cicerbita racemosa Beauverd,Cicerbita racemosa Beauverd,Cicerbita racemosa,Lactuca racemosa Willd.,Lactuca racemosa,Cicerbita,Lactuca
2777,Cacalia thunbergii Nakai,Japonicalia delphiniifolia (Siebold & Zucc.) C.Ren & Q.E.Yang,Japonicalia delphiniifolia (Siebold & Zucc.) C.Ren & Q.E.Yang,Japonicalia delphiniifolia (Siebold & Zucc.) C.Ren & Q.E.Yang,Japonicalia delphiniifolia,Syneilesis palmata Maxim.,Syneilesis palmata,Japonicalia,Syneilesis
2827,Lactuca taliensis Franch.,Melanoseris graciliflora (DC.) N.Kilian,Melanoseris graciliflora (DC.) N.Kilian,Melanoseris graciliflora (DC.) N.Kilian,Melanoseris graciliflora,Stenoseris graciliflora (Wall. ex DC.) C.Shih,Stenoseris graciliflora,Melanoseris,Stenoseris
2872,Oyedaea episcopalis H.Rob.,Heterocondylus vitalbae (DC.) R.M.King & H.Rob.,Heterocondylus vitalbae (DC.) R.M.King & H.Rob.,Heterocondylus vitalbae (DC.) R.M.King & H.Rob.,Heterocondylus vitalbae,Dimerostemma episcopale (H.Rob.) H.Rob.,Dimerostemma episcopale,Heterocondylus,Dimerostemma
2996,Vernonia aphanantha Baker,Pluchea aphanantha Humbert,Pluchea aphanantha Humbert,Pluchea aphanantha Humbert,Pluchea aphanantha,Vernonia aphanantha Baker,Vernonia aphanantha,Pluchea,Vernonia
2997,Senecio scandens Wall.,Cissampelopsis buimalia (Buch.-Ham. ex D.Don) C.Jeffrey & Y.L.Chen,Cissampelopsis buimalia (Buch.-Ham. ex D.Don) C.Jeffrey & Y.L.Chen,Cissampelopsis buimalia (Buch.-Ham. ex D.Don) C.Jeffrey & Y.L.Chen,Cissampelopsis buimalia,Senecio buimalia Buch.-Ham. ex D.Don,Senecio buimalia,Cissampelopsis,Senecio
3001,Vernonia madagascariensis Less.,Distephanus madagascariensis (Less.) H.Rob. & V.A.Funk,Distephanus madagascariensis (Less.) H.Rob. & V.A.Funk,Distephanus madagascariensis (Less.) H.Rob. & V.A.Funk,Distephanus madagascariensis,Vernonia madagascariensis Less.,Vernonia madagascariensis,Distephanus,Vernonia
3055,Vernonia esquirolii Vaniot,Cissampelopsis volubilis Miq.,Cissampelopsis volubilis Miq.,Cissampelopsis volubilis Miq.,Cissampelopsis volubilis,Vernonia esquirolii Vaniot,Vernonia esquirolii,Cissampelopsis,Vernonia
3065,Vernonia mespilifolia Less.,Gymnanthemum mespilifolium (Less.) H.Rob.,Gymnanthemum mespilifolium (Less.) H.Rob.,Gymnanthemum mespilifolium (Less.) H.Rob.,Gymnanthemum mespilifolium,Vernonia mespilifolia Less.,Vernonia mespilifolia,Gymnanthemum,Vernonia
3185,Gnaphalium hypoleucum DC.,Pseudognaphalium hypoleucum (DC.) Hilliard & B.L.Burtt,Pseudognaphalium hypoleucum (DC.) Hilliard & B.L.Burtt,Pseudognaphalium hypoleucum (DC.) Hilliard & B.L.Burtt,Pseudognaphalium hypoleucum,Gnaphalium hypoleucum DC.,Gnaphalium hypoleucum,Pseudognaphalium,Gnaphalium
3224,Cotula debilis Balb. ex Spreng.,Eclipta prostrata Lour.,Eclipta prostrata Lour.,Blainvillea acmella (L.) Philipson,Blainvillea acmella,Eclipta pusilla M.E.Jones,Eclipta pusilla,Blainvillea,Eclipta
3247,Inula glabra Gilib.,"Pentanema salicinum (L.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort.","Pentanema salicinum (L.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort.","Pentanema salicinum (L.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort.",Pentanema salicinum,Inula salicina L.,Inula salicina,Pentanema,Inula
3306,Vernonia macahensis Glaz. ex G.M.Barroso,Lessingianthus lacunosus (Mart. ex DC.) H.Rob.,Lessingianthus lacunosus (Mart. ex DC.) H.Rob.,Lessingianthus lacunosus (Mart. ex DC.) H.Rob.,Lessingianthus lacunosus,Lepidaploa macahensis (Glaz. ex G.M.Barroso) H.Rob.,Lepidaploa macahensis,Lessingianthus,Lepidaploa
3342,Aster decurrens Moench,"Pentanema bifrons (L.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort.","Pentanema bifrons (L.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort.","Pentanema bifrons (L.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort.",Pentanema bifrons,Inula bifrons L.,Inula bifrons,Pentanema,Inula
3356,Lactuca brassicifolia Boiss.,Cicerbita brassicifolia Beauverd,Cicerbita brassicifolia Beauverd,Cicerbita brassicifolia Beauverd,Cicerbita brassicifolia,Lactuca brassicifolia Boiss.,Lactuca brassicifolia,Cicerbita,Lactuca
3368,Vernonia gratiosa Hance,Decaneuropsis gratiosa (Hance) H.Rob. & Skvarla,Decaneuropsis gratiosa (Hance) H.Rob. & Skvarla,Decaneuropsis gratiosa (Hance) H.Rob. & Skvarla,Decaneuropsis gratiosa,Vernonia gratiosa Hance,Vernonia gratiosa,Decaneuropsis,Vernonia
3390,Diplopappus pluriflorus Steud.,Chrysocoma obtusata (Thunb.) Ehr.Bayer,Chrysocoma obtusata (Thunb.) Ehr.Bayer,Chrysocoma obtusata (Thunb.) Ehr.Bayer,Chrysocoma obtusata,Aster pluriflorus G.Don,Aster pluriflorus,Chrysocoma,Aster
3399,Matricaria subnivalis (Pobed.) Rauschert,Tripleurospermum breviradiatum (Ledeb.) Pobed.,Tripleurospermum breviradiatum (Ledeb.) Pobed.,Matricaria breviradiata (Ledeb.) Rauschert,Matricaria breviradiata,Tripleurospermum caucasicum (Willd.) Hayek,Tripleurospermum caucasicum,Matricaria,Tripleurospermum
3411,Spilanthes callimorpha A.H.Moore,Acmella calva (DC.) R.K.Jansen,Acmella calva (DC.) R.K.Jansen,Acmella calva (DC.) R.K.Jansen,Acmella calva,Spilanthes callimorpha A.H.Moore,Spilanthes callimorpha,Acmella,Spilanthes
3437,Gymnolomia costaricensis (Benth.) B.L.Rob. & Greenm.,Hymenostephium cordatum S.F.Blake,Hymenostephium cordatum S.F.Blake,Hymenostephium cordatum S.F.Blake,Hymenostephium cordatum,Viguiera cordata (Hook. & Arn.) D'Arcy,Viguiera cordata,Hymenostephium,Viguiera
3440,Camchaya eberhardtii (Gagnep.) Kitam.,Iodocephalopsis eberhardtii (Gagnep.) Bunwong & H.Rob.,Iodocephalopsis eberhardtii (Gagnep.) Bunwong & H.Rob.,Iodocephalopsis eberhardtii (Gagnep.) Bunwong & H.Rob.,Iodocephalopsis eberhardtii,Camchaya eberhardtii (Gagnep.) Kitam.,Camchaya eberhardtii,Iodocephalopsis,Camchaya
3459,Senecio zimapanicus Hemsl.,Packera zimapanica (Hemsl.) C.C.Freeman & T.M.Barkley,Packera zimapanica (Hemsl.) C.C.Freeman & T.M.Barkley,Packera zimapanica (Hemsl.) C.C.Freeman & T.M.Barkley,Packera zimapanica,Senecio zimapanicus Hemsl.,Senecio zimapanicus,Packera,Senecio
3542,Senecio betsiliensis Baker,Hubertia hypargyrea (DC.) C.Jeffrey,Hubertia hypargyrea (DC.) C.Jeffrey,Hubertia hypargyrea (DC.) C.Jeffrey,Hubertia hypargyrea,Senecio hypargyraeus DC.,Senecio hypargyraeus,Hubertia,Senecio
3598,Cephalorrhynchus brassicifolius (Boiss.) Tuisl,Cicerbita brassicifolia Beauverd,Cicerbita brassicifolia Beauverd,Cicerbita brassicifolia Beauverd,Cicerbita brassicifolia,Lactuca brassicifolia Boiss.,Lactuca brassicifolia,Cicerbita,Lactuca
3641,Centaurea verbascifolia Vahl,Centaurothamnus maximus (Forssk.) Wagenitz & Dittrich,Centaurothamnus maximus (Forssk.) Wagenitz & Dittrich,Centaurothamnus maximus (Forssk.) Wagenitz & Dittrich,Centaurothamnus maximus,Centaurea verbascifolia Vahl,Centaurea verbascifolia,Centaurothamnus,Centaurea
3650,Senecio moranii T.M.Barkley,Packera moranii (T.M.Barkley) C.Jeffrey,Packera moranii (T.M.Barkley) C.Jeffrey,Packera moranii (T.M.Barkley) C.Jeffrey,Packera moranii,Senecio moranii T.M.Barkley,Senecio moranii,Packera,Senecio
