,202112_202212
number of new accepted species names,423006
number of old accepted species names,416165
new accepted species names which were previously published,370350
number of new species names,981071
number of old species names,964986
new species names not in old,28104
species names have disappearedbut this could be due to orthographic changes with authorship,12019
