,201905_202212
number of old unaccepted species names,457554
old unaccepted species names are now accepted,11376
Number of old Synonyms which are now accepted,11347
Number of old Homotypicsynonyms which are now accepted,5
Number of old Heterotypicsynonyms which are now accepted,25
