,v10_v11
number of old unaccepted species names,667697
old unaccepted species names are now accepted,923
Number of old Unplaceds which are now accepted,191
Number of old Invalids which are now accepted,17
Number of old Synonyms which are now accepted,543
Number of old Illegitimates which are now accepted,168
Number of old Misapplieds which are now accepted,4
