,taxon_name_w_authors,202207_direct_accepted_name_w_author,202207_direct_accepted_species
count,798799,798799,788650
unique,798799,325774,289629
top,Riedlea ,Solanum tuberosum L.,Mentha longifolia
freq,1,349,429
