,201807_202306
number of new accepted species names,414787
number of old accepted species names,371192
new accepted species names which were previously published,242719
number of new species names,1013334
number of old species names,811581
new species names not in old,373727
species names have disappearedbut this could be due to orthographic changes with authorship,171974
