,202112_202406
number of new accepted species names,422863
number of old accepted species names,416165
new accepted species names which were previously published,318745
number of new species names,1037275
number of old species names,964986
new species names not in old,186166
species names have disappearedbut this could be due to orthographic changes with authorship,113877
