,taxon_name_w_authors,202212_accepted_name_w_author,202306_taxon_name_w_authors,202306_chained_accepted_name_w_author,202306_chained_accepted_species,202306_direct_accepted_name_w_author,202306_direct_accepted_species
40,Trichophorum uniflorum (Trautv.) Karav.,Trichophorum uniflorum (Trautv.) Malyschev & Lukitsch.,Trichophorum uniflorum (Trautv.) Malyschev & Lukitsch.,Trichophorum uniflorum (Trautv.) Malyschev & Lukitsch.,Trichophorum uniflorum,Trichophorum uniflorum (Trautv.) Karav.,Trichophorum uniflorum
80,Scleria cenchroides Kunth,Scleria distans Poir.,Scleria distans Poir.,Scleria distans Poir.,Scleria distans,Scleria distans var. distans ,Scleria distans
138,Carex fusiformis subsp. fusiformis ,Carex fusiformis Nees,Carex fusiformis Nees,Carex fusiformis Nees,Carex fusiformis,Carex fusiformis subsp. fusiformis ,Carex fusiformis
21962,Martinia polymorpha Vaniot,Aster indicus L.,Aster indicus L.,Aster indicus L.,Aster indicus,Aster indicus var. indicus ,Aster indicus
36697,Aster indicus var. indicus ,Aster indicus L.,Aster indicus L.,Aster indicus L.,Aster indicus,Aster indicus var. indicus ,Aster indicus
40808,Hieracium gemellum subsp. gemellum ,Hieracium eurofinmarkicum (Norrl.) Schljakov,Hieracium eurofinmarkicum (Norrl.) Schljakov,Hieracium eurofinmarkicum (Norrl.) Schljakov,Hieracium eurofinmarkicum,Hieracium gemellum Almq. ex Elfstr.,Hieracium gemellum
41672,Hieracium subelongatum subsp. elongatiforme Zahn,Hieracium valdepilosum subsp. elongatiforme (Zahn) Greuter,Hieracium valdepilosum subsp. elongatiforme (Zahn) Greuter,Hieracium valdepilosum subsp. elongatiforme (Zahn) Greuter,Hieracium valdepilosum,Hieracium porrectum subsp. elongatiforme (Zahn) Zahn,Hieracium porrectum
44133,Artemisia laciniata var. laciniata ,Artemisia laciniata Willd.,Artemisia laciniata Willd.,Artemisia laciniata Willd.,Artemisia laciniata,Artemisia laciniata C.B.Clarke,Artemisia laciniata
55509,Melanthera albinervia subsp. caudata Wild,Lipotriche pungens (Oliv. & Hiern) Orchard,Lipotriche pungens (Oliv. & Hiern) Orchard,Lipotriche pungens (Oliv. & Hiern) Orchard,Lipotriche pungens,Lipotriche pungens subsp. caudata (Wild) D.J.N.Hind,Lipotriche pungens
75634,Senecio glaber var. glaber ,Senecio glaber Less.,Senecio glaber Less.,Senecio glaber Less.,Senecio glaber,Senecio glaber var. glaber ,Senecio glaber
75823,Silphium integrifolium var. gattingeri L.M.Perry,Silphium asteriscus subsp. asteriscus ,Silphium asteriscus subsp. asteriscus ,Silphium asteriscus var. asteriscus ,Silphium asteriscus,Silphium asteriscus L.,Silphium asteriscus
