,taxon_name_w_authors,202212_accepted_name_w_author,202306_taxon_name_w_authors,202306_chained_accepted_name_w_author,202306_chained_accepted_species,202306_direct_accepted_name_w_author,202306_direct_accepted_species,202306_chained_accepted_genus,202306_direct_accepted_genus
40808,Hieracium gemellum subsp. gemellum ,Hieracium eurofinmarkicum (Norrl.) Schljakov,Hieracium eurofinmarkicum (Norrl.) Schljakov,Hieracium eurofinmarkicum (Norrl.) Schljakov,Hieracium eurofinmarkicum,Hieracium gemellum Almq. ex Elfstr.,Hieracium gemellum,Hieracium,Hieracium
41672,Hieracium subelongatum subsp. elongatiforme Zahn,Hieracium valdepilosum subsp. elongatiforme (Zahn) Greuter,Hieracium valdepilosum subsp. elongatiforme (Zahn) Greuter,Hieracium valdepilosum subsp. elongatiforme (Zahn) Greuter,Hieracium valdepilosum,Hieracium porrectum subsp. elongatiforme (Zahn) Zahn,Hieracium porrectum,Hieracium,Hieracium
88669,Hieracium porrectum Fr.,Hieracium valdepilosum subsp. porrectum (Fr.) Greuter,Hieracium valdepilosum subsp. porrectum (Fr.) Greuter,Hieracium valdepilosum subsp. porrectum (Fr.) Greuter,Hieracium valdepilosum,Hieracium porrectum Fr.,Hieracium porrectum,Hieracium,Hieracium
103469,Hieracium elongatiforme (Zahn) Prain,Hieracium valdepilosum subsp. elongatiforme (Zahn) Greuter,Hieracium valdepilosum subsp. elongatiforme (Zahn) Greuter,Hieracium valdepilosum subsp. elongatiforme (Zahn) Greuter,Hieracium valdepilosum,Hieracium porrectum subsp. elongatiforme (Zahn) Zahn,Hieracium porrectum,Hieracium,Hieracium
114844,Osmunda basilaris Spreng.,Osmundastrum claytonianum (L.) Tagawa,Osmundastrum claytonianum (L.) Tagawa,Osmundastrum claytonianum (L.) Tagawa,Osmundastrum claytonianum,Osmunda claytoniana L.,Osmunda claytoniana,Osmundastrum,Osmunda
129549,Albizia plurijuga (Standl.) Britton & Rose,Albizia occidentalis var. plurijuga (Standl.) L.Rico & S.L.Gale,Albizia occidentalis var. plurijuga (Standl.) L.Rico & S.L.Gale,Albizia occidentalis var. plurijuga (Standl.) L.Rico & S.L.Gale,Albizia occidentalis,Hesperalbizia occidentalis (Brandegee) Barneby & J.W.Grimes,Hesperalbizia occidentalis,Albizia,Hesperalbizia
131549,Leucaena plurijuga Standl.,Albizia occidentalis var. plurijuga (Standl.) L.Rico & S.L.Gale,Albizia occidentalis var. plurijuga (Standl.) L.Rico & S.L.Gale,Albizia occidentalis var. plurijuga (Standl.) L.Rico & S.L.Gale,Albizia occidentalis,Hesperalbizia occidentalis (Brandegee) Barneby & J.W.Grimes,Hesperalbizia occidentalis,Albizia,Hesperalbizia
131550,Pithecellobium polycephalum Benth.,Albizia polycephala (Benth.) Killip,Albizia polycephala (Benth.) Killip,Albizia polycephala (Benth.) Killip,Albizia polycephala,Pseudalbizzia polycephala (Benth.) E.J.M.Koenen & Duno,Pseudalbizzia polycephala,Albizia,Pseudalbizzia
131551,Samanea polycephala (Benth.) Pittier,Albizia polycephala (Benth.) Killip,Albizia polycephala (Benth.) Killip,Albizia polycephala (Benth.) Killip,Albizia polycephala,Pseudalbizzia polycephala (Benth.) E.J.M.Koenen & Duno,Pseudalbizzia polycephala,Albizia,Pseudalbizzia
132072,Newtonia nitida (Benth.) Brenan,Pseudopiptadenia contorta (DC.) G.P.Lewis & M.P.Lima,Pseudopiptadenia contorta (DC.) G.P.Lewis & M.P.Lima,Pseudopiptadenia contorta (DC.) G.P.Lewis & M.P.Lima,Pseudopiptadenia contorta,Marlimorimia contorta (DC.) L.P.Queiroz & P.G.Ribeiro,Marlimorimia contorta,Pseudopiptadenia,Marlimorimia
