,202306_202112
number of new accepted species names,416165
number of old accepted species names,414787
new accepted species names which were previously published,350738
number of new species names,964986
number of old species names,1013334
new species names not in old,62817
species names have disappearedbut this could be due to orthographic changes with authorship,111165
