,taxon_name_w_authors,v13_accepted_name_w_author,v14_taxon_name_w_authors,v14_chained_accepted_name_w_author,v14_chained_accepted_species,v14_direct_accepted_name_w_author,v14_direct_accepted_species
count,4102,4102,4102,4102,3950,4102,3954
unique,4102,1187,1187,1182,1088,1437,1234
top,Populus wobstii R.I.Schröd. ex Dippel,Thymus glabrescens Willd.,Thymus glabrescens Willd.,Thymus glabrescens Willd.,Thymus glabrescens,Thymus glabrescens subsp. glabrescens,Thymus glabrescens
freq,1,72,72,72,72,72,72
