,taxon_name_w_authors,v13_accepted_name_w_author,v14_taxon_name_w_authors,v14_chained_accepted_name_w_author,v14_chained_accepted_species,v14_direct_accepted_name_w_author,v14_direct_accepted_species
count,2521,2521,2521,2521,2517,2521,2521
unique,2521,894,894,889,881,1028,1015
top,Populus wobstii R.I.Schröd. ex Dippel,Achillea millefolium subsp. millefolium,Achillea millefolium subsp. millefolium,Achillea millefolium subsp. millefolium,Achillea millefolium,Morus acidosa Griff.,Achillea borealis
freq,1,66,66,66,66,38,49
