,taxon_name_w_authors,v14_direct_accepted_name_w_author,v14_direct_accepted_species
count,1376894,1376894,1335600
unique,1376894,432454,361510
top,Panicum flexuosum Scribn. & Merr.,Rosa canina L.,Rosa canina
freq,1,1119,1119
