,taxon_name_w_authors,202207_accepted_name_w_author,202312_taxon_name_w_authors,202312_chained_accepted_name_w_author,202312_chained_accepted_species,202312_direct_accepted_name_w_author,202312_direct_accepted_species,202312_chained_accepted_genus,202312_direct_accepted_genus
count,12645,12645,12645,12645,12398,12645,12444,12645,12645
unique,12645,6235,6235,6179,5895,7286,6947,1900,1851
top,Lalexia Luer,Sebastiania brasiliensis Spreng.,Sebastiania brasiliensis Spreng.,Sebastiania brasiliensis Spreng.,Sebastiania brasiliensis,Sebastiania ramosissima (A.St.-Hil.) A.L.Melo & M.F.Sales,Sebastiania ramosissima,Artemisia,Senecio
freq,1,47,47,47,47,47,47,226,385
