,taxon_name_w_authors,202204_accepted_name_w_author,202212_taxon_name_w_authors,202212_chained_accepted_name_w_author,202212_chained_accepted_species,202212_direct_accepted_name_w_author,202212_direct_accepted_species
15313,Hieracium paraguense Baker,Hieracium paraguayense Arv.-Touv.,Hieracium paraguayense Arv.-Touv.,Hieracium paraguayense Arv.-Touv.,Hieracium paraguayense,Hieracium paraguayense Arv.-Touv. ex Peter,Hieracium paraguayense
82889,Hieracium ignatianum var. paraguense (Baker) Zahn,Hieracium paraguayense Arv.-Touv.,Hieracium paraguayense Arv.-Touv.,Hieracium paraguayense Arv.-Touv.,Hieracium paraguayense,Hieracium paraguayense Arv.-Touv. ex Peter,Hieracium paraguayense
91328,Carduus nutans var. leiophyllus (Petrovič) Arènes,Carduus nutans L.,Carduus nutans L.,Carduus nutans L.,Carduus nutans,Carduus nutans subsp. leiophyllus (Petrovič) Stoj. & Stef.,Carduus nutans
123113,Phegopteris villosa Fée,Polystichopsis pubescens (L.) C.V.Morton,Polystichopsis pubescens (L.) C.V.Morton,Polystichopsis pubescens (L.) C.V.Morton,Polystichopsis pubescens,Polystichopsis muscosa (Vahl) Proctor,Polystichopsis muscosa
127250,Melastoma vimineum (D.Don) Voigt,Pleroma vimineum D.Don,Pleroma vimineum D.Don,Pleroma vimineum D.Don,Pleroma vimineum,Pleroma viminea D.Don,Pleroma viminea
127394,Tamonea argyrophylla Krasser,Miconia argyrophylla subsp. argyrophylla ,Miconia argyrophylla subsp. argyrophylla ,Miconia argyrophylla subsp. argyrophylla ,Miconia argyrophylla,Miconia argyrophylla DC.,Miconia argyrophylla
127402,Tamonea laevigata Krasser,Miconia laevigata (L.) D.Don,Miconia laevigata (L.) D.Don,Miconia laevigata (L.) D.Don,Miconia laevigata,Miconia laevigata DC.,Miconia laevigata
127529,Tamonea impetiolaris O.F.Cook & G.N.Collins,Miconia impetiolaris D.Don,Miconia impetiolaris D.Don,Miconia impetiolaris D.Don,Miconia impetiolaris,Miconia impetiolaris var. impetiolaris ,Miconia impetiolaris
127667,Alifana lutescens Raf.,Miconia lutescens DC.,Miconia lutescens DC.,Miconia lutescens DC.,Miconia lutescens,Brachyotum lutescens Triana,Brachyotum lutescens
127672,Allomorphia arborescens Guillaumin,Oxyspora balansae (Cogn.) J.F.Maxwell,Oxyspora balansae (Cogn.) J.F.Maxwell,Oxyspora balansae (Cogn.) J.F.Maxwell,Oxyspora balansae,Oxyspora balansae var. balansae ,Oxyspora balansae
127678,Allomorphia cordifolia Cogn.,Poikilogyne cordifolia Mansf.,Poikilogyne cordifolia Mansf.,Poikilogyne cordifolia Mansf.,Poikilogyne cordifolia,Poikilogyne cordifolia var. cordifolia ,Poikilogyne cordifolia
127703,Allomorphia sylvarum E.T.Geddes,Oxyspora balansae (Cogn.) J.F.Maxwell,Oxyspora balansae (Cogn.) J.F.Maxwell,Oxyspora balansae (Cogn.) J.F.Maxwell,Oxyspora balansae,Oxyspora balansae var. balansae ,Oxyspora balansae
