,taxon_name_w_authors,202204_accepted_name_w_author,202212_taxon_name_w_authors,202212_chained_accepted_name_w_author,202212_chained_accepted_species,202212_direct_accepted_name_w_author,202212_direct_accepted_species,202212_chained_accepted_genus,202212_direct_accepted_genus
count,2185,2185,2185,2185,2109,2185,2116,2185,2185
unique,2185,1288,1288,1277,1209,1380,1312,428,410
top,Gynapteina Spach,Geophila repens (L.) I.M.Johnst.,Geophila repens (L.) I.M.Johnst.,Geophila repens (L.) I.M.Johnst.,Geophila repens,Geophila herbacea (Jacq.) K.Schum.,Geophila herbacea,Astragalus,Astragalus
freq,1,24,24,24,24,24,24,184,196
