,taxon_name_w_authors,v11_accepted_name_w_author,v14_taxon_name_w_authors,v14_chained_accepted_name_w_author,v14_chained_accepted_species
count,1351068,1351068,1351068,1350517,1309567
unique,1351068,425631,425631,422657,353843
top,Vernonanthura schulziana (Cabrera) H.Rob.,Rosa canina L.,Rosa canina L.,Rosa canina L.,Rosa canina
freq,1,1128,1128,1128,1128
