,taxon_name_w_authors,v11_accepted_name_w_author,v14_taxon_name_w_authors,v14_chained_accepted_name_w_author,v14_chained_accepted_species,v14_direct_accepted_name_w_author,v14_direct_accepted_species
105,Sedum taiwanianum S.S.Ying,Sedum nokoense Yamam.,Sedum nokoense Yamam.,Sedum nokoense Yamam.,Sedum nokoense,Sedum taiwanianum S.S.Ying,Sedum taiwanianum
113,Morus rotundiloba Koidz.,Morus indica L.,Morus indica L.,Morus indica L.,Morus indica,Morus acidosa Griff.,Morus acidosa
793,Neodypsis Baill.,Dypsis Noronha ex Mart.,Dypsis Noronha ex Mart.,Dypsis Noronha ex Mart.,,Chrysalidocarpus H.Wendl.,
1032,Racosperma centrinervium (Maiden & Blakely) Pedley,Acacia lineata A.Cunn. ex G.Don,Acacia lineata A.Cunn. ex G.Don,Acacia lineata A.Cunn. ex G.Don,Acacia lineata,Acacia centrinervia Maiden & Blakely,Acacia centrinervia
1124,Bidens wallichii DC.,Bidens bipinnata L.,Bidens bipinnata L.,Bidens bipinnata L.,Bidens bipinnata,Bidens biternata var. biternata,Bidens biternata
1186,Crataegus fernaldii Sarg.,Crataegus chrysocarpa var. chrysocarpa,Crataegus chrysocarpa var. chrysocarpa,Crataegus chrysocarpa var. chrysocarpa,Crataegus chrysocarpa,Crataegus laurentiana Sarg.,Crataegus laurentiana
1195,Viola filipes Greene,Viola canina subsp. canina,Viola canina subsp. canina,Viola canina subsp. canina,Viola canina,Viola adunca Sm.,Viola adunca
1226,Cornuella Pierre,Chrysophyllum L.,Chrysophyllum L.,Chrysophyllum L.,,Cornuella Pierre,
1248,Brachynema F.Muell.,Sphenodesme Jack,Sphenodesme Jack,Sphenodesme Jack,,Abrophyllum Hook.f.,
1517,Crataegus laurentiana Sarg.,Crataegus jonesiae Sarg.,Crataegus jonesiae Sarg.,Crataegus jonesiae Sarg.,Crataegus jonesiae,Crataegus laurentiana Sarg.,Crataegus laurentiana
1535,Chrysocoma coma-aurea L.,Chrysocoma cernua L.,Chrysocoma cernua L.,Chrysocoma cernua L.,Chrysocoma cernua,Chrysocoma coma-aurea L.,Chrysocoma coma-aurea
1557,Lemmatium DC.,Calea L.,Calea L.,Calea L.,,Lemmatium DC.,
1589,Rubus hedycarpus Focke,Rubus praecox f. praecox,Rubus praecox f. praecox,Rubus praecox f. praecox,Rubus praecox,Rubus procerus P.J.Müll. ex Boulay,Rubus procerus
1706,Falona Adans.,Cynosurus L.,Cynosurus L.,Cynosurus L.,,Falona Adans.,
1811,Conohoria passoura DC.,Rinorea flavescens (Aubl.) Kuntze,Rinorea flavescens (Aubl.) Kuntze,Rinorea flavescens (Aubl.) Kuntze,Rinorea flavescens,Rinorea pubiflora (Benth.) Sprague & Sandwith,Rinorea pubiflora
1833,Sparrea Hunz. & Dottori,Celtis L.,Celtis L.,Celtis L.,,Sparrea Hunz. & Dottori,
2002,Capsicum conicum Vell.,Capsicum baccatum var. baccatum,Capsicum baccatum var. baccatum,Capsicum baccatum var. baccatum,Capsicum baccatum,Capsicum chinense Jacq.,Capsicum chinense
2052,Acorus nilghirensis Schott,Acorus calamus var. calamus,Acorus calamus var. calamus,Acorus calamus L.,Acorus calamus,Acorus verus (L.) Raf.,Acorus verus
2055,Acorus griffithii Schott,Acorus calamus var. calamus,Acorus calamus var. calamus,Acorus calamus L.,Acorus calamus,Acorus verus (L.) Raf.,Acorus verus
2058,Acorus calamus var. verus L.,Acorus calamus var. calamus,Acorus calamus var. calamus,Acorus calamus L.,Acorus calamus,Acorus verus (L.) Raf.,Acorus verus
2111,Usteria Dennst.,Acalypha L.,Acalypha L.,Acalypha L.,,Symplocos Jacq.,
2203,Orchis coreosmus St.-Lag.,"Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase",Anacamptis coriophora,Anacamptis coriophora subsp. coriophora,Anacamptis coriophora
2206,Orchis polliniana Spreng.,"Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase",Anacamptis coriophora,Anacamptis fragrans (Pollini) R.M.Bateman,Anacamptis fragrans
2209,Metrosideros apocynifolia Salisb.,Angophora costata (Gaertn.) Britten,Angophora costata (Gaertn.) Britten,Angophora costata (Gaertn.) Britten,Angophora costata,Angophora costata subsp. costata,Angophora costata
2333,Acalypha brasiliensis var. asterotricha Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis,Acalypha brasiliensis subsp. asterotricha (Müll.Arg.) Cardiel & A.A.C.Sousa,Acalypha brasiliensis
2334,Acalypha brasiliensis f. obtusa Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis,Acalypha brasiliensis subsp. asterotricha (Müll.Arg.) Cardiel & A.A.C.Sousa,Acalypha brasiliensis
2336,Acalypha brasiliensis var. angustifolia Pax & K.Hoffm.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis,Acalypha brasiliensis subsp. psilophylla (Müll.Arg.) Cardiel & A.A.C.Sousa,Acalypha brasiliensis
2337,Acalypha brasiliensis var. brevipes Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis,Acalypha brasiliensis subsp. psilophylla (Müll.Arg.) Cardiel & A.A.C.Sousa,Acalypha brasiliensis
2338,Acalypha brasiliensis f. cordata Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis,Acalypha brasiliensis subsp. asterotricha (Müll.Arg.) Cardiel & A.A.C.Sousa,Acalypha brasiliensis
