,taxon_name_w_authors,202112_direct_accepted_name_w_author,202112_direct_accepted_species
count,799020,799020,788872
unique,799020,325725,289616
top,Riedlea ,Solanum tuberosum L.,Mentha longifolia
freq,1,349,429
