,taxon_name_w_authors,v11_accepted_name_w_author,v12_taxon_name_w_authors,v12_chained_accepted_name_w_author,v12_chained_accepted_species
count,1362459,1362459,1362459,1362264,1321140
unique,1362459,428167,428167,427213,356536
top,Vernonanthura schulziana (Cabrera) H.Rob.,Rosa canina L.,Rosa canina L.,Rosa canina L.,Rosa canina
freq,1,1128,1128,1128,1128
