,v11_v12,Percentages
original_names,1367679,100.0
total_disagreements,4129,0.3018983255573859
species_disagreements,1560,0.11406185223287044
genus_disagreements,136,0.00994385378440409
unresolved_via_chaining_despite_a_direct_resolution,11,0.0008042822913856249
