,taxon_name_w_authors,v12_accepted_name_w_author,v13_taxon_name_w_authors,v13_chained_accepted_name_w_author,v13_chained_accepted_species,v13_direct_accepted_name_w_author,v13_direct_accepted_species
count,2893,2893,2893,2893,2837,2893,2838
unique,2893,839,839,834,784,1012,865
top,Loranthus longiflorus var. pubescens Hook.f.,Molinia caerulea (L.) Moench,Molinia caerulea (L.) Moench,Molinia caerulea (L.) Moench,Molinia caerulea,Molinia caerulea subsp. caerulea,Molinia caerulea
freq,1,87,87,87,87,87,87
