,Region,Number of Taxa
0,ABT,1666
1,AFG,4526
2,AGE,5389
3,AGS,2090
4,AGW,5407
5,ALA,3104
6,ALB,3497
7,ALD,198
8,ALG,3622
9,ALT,2627
10,ALU,368
11,AMU,1445
12,AND,1818
13,ANG,6216
14,ANT,3
15,ARI,3640
16,ARK,2227
17,ARU,287
18,ASC,36
19,ASK,1412
20,ASP,32
21,ASS,6514
22,ATP,211
23,AUT,3887
24,AZO,558
25,BAH,1085
26,BAL,1493
27,BAN,4155
28,BEN,2321
29,BER,197
30,BGM,1997
31,BIS,1701
32,BKN,1844
33,BLR,1473
34,BLT,1748
35,BLZ,3641
36,BOL,14896
37,BOR,12056
38,BOT,2501
39,BRC,2348
40,BRY,1855
41,BUL,4018
42,BUR,2831
43,BZC,9971
44,BZE,11594
45,BZL,18428
46,BZN,13576
47,BZS,8613
48,CAB,936
49,CAF,3684
50,CAL,5785
51,CAY,556
52,CBD,3932
53,CGS,53
54,CHA,2146
55,CHC,20482
56,CHH,3626
57,CHI,2783
58,CHM,2481
59,CHN,5599
60,CHQ,2207
61,CHS,11729
62,CHT,7165
63,CHX,3487
64,CKI,76
65,CLC,3041
66,CLM,25181
67,CLN,1751
68,CLS,1385
69,CMN,7116
70,CNT,1755
71,CNY,1666
72,COL,2790
73,COM,1105
74,CON,3985
75,COO,294
76,COR,2203
77,COS,10799
78,CPI,210
79,CPP,15865
80,CPV,605
81,CRL,1036
82,CRZ,22
83,CTA,1533
84,CTM,364
85,CUB,6155
86,CVI,537
87,CYP,1651
88,CZE,3653
89,DEL,1585
90,DEN,1816
91,DJI,776
92,DOM,3967
93,DSV,28
94,EAI,2121
95,EAS,41
96,ECU,18482
97,EGY,1610
98,EHM,8099
99,ELS,3546
100,EQG,1514
101,ERI,1842
102,ETH,5199
103,FAL,183
104,FIJ,1713
105,FIN,2781
106,FLA,3191
107,FOR,368
108,FRA,6538
109,FRG,5161
110,GAB,5077
111,GAL,592
112,GAM,800
113,GEO,3091
114,GER,4464
115,GGI,1943
116,GHA,3171
117,GIL,96
118,GNB,1419
119,GNL,528
120,GRB,2985
121,GRC,5378
122,GST,727
123,GUA,8358
124,GUI,3572
125,GUY,6369
126,HAI,3714
127,HAW,1315
128,HBI,12
129,HMD,11
130,HON,6712
131,HUN,2562
132,ICE,787
133,IDA,2431
134,ILL,2317
135,IND,8108
136,INI,2028
137,IOW,1601
