,Region,Number of Taxa
302,SUR,92
303,SVA,8
304,SWC,6
305,SWE,133
306,SWI,219
307,SWZ,24
308,TAI,133
309,TAN,67
310,TAS,33
311,TCI,9
312,TCS,173
313,TDC,6
314,TEN,79
315,TEX,120
316,THA,130
317,TKM,67
318,TOG,22
319,TOK,3
320,TON,11
321,TRT,52
322,TUA,6
323,TUB,18
324,TUE,128
325,TUN,132
326,TUR,229
327,TUV,1
328,TVA,47
329,TVL,55
330,TZK,76
331,UGA,51
332,UKR,181
333,URU,67
334,UTA,74
335,UZB,67
336,VAN,26
337,VEN,175
338,VER,73
339,VIC,47
340,VIE,142
341,VNA,19
342,VRG,93
343,WAK,1
344,WAL,9
345,WAS,68
346,WAU,77
347,WDC,41
348,WHM,132
349,WIN,40
350,WIS,82
351,WSA,10
352,WSB,95
353,WVA,63
354,WYO,56
355,XMS,5
356,YAK,61
357,YEM,38
358,YUG,267
359,YUK,41
360,ZAI,63
361,ZAM,47
362,ZIM,53
