,Region,Number of Taxa
0,ABT,51
1,AFG,80
2,AGE,126
3,AGS,34
4,AGW,98
5,ALA,107
6,ALB,206
7,ALD,4
8,ALG,171
9,ALT,85
10,ALU,12
11,AMU,48
12,AND,38
13,ANG,44
14,ARI,80
15,ARK,72
16,ARU,7
17,ASC,5
18,ASK,54
19,ASP,2
20,ASS,124
21,ATP,6
22,AUT,224
23,AZO,35
24,BAH,31
25,BAL,89
26,BAN,85
27,BEN,22
28,BER,7
29,BGM,160
30,BIS,32
31,BKN,19
32,BLR,100
33,BLT,106
34,BLZ,68
35,BOL,243
36,BOR,93
37,BOT,23
38,BRC,75
39,BRY,54
40,BUL,215
41,BUR,29
42,BZC,156
43,BZE,139
44,BZL,199
45,BZN,149
46,BZS,152
47,CAB,5
48,CAF,34
49,CAL,105
50,CAY,13
51,CBD,70
52,CGS,2
53,CHA,26
54,CHC,204
55,CHH,69
56,CHI,85
57,CHM,81
58,CHN,116
59,CHQ,41
60,CHS,163
61,CHT,89
62,CHX,79
63,CKI,2
64,CLC,54
65,CLM,209
66,CLN,33
67,CLS,27
68,CMN,59
69,CNT,68
70,CNY,67
71,COL,73
72,COM,20
73,CON,23
74,COO,11
75,COR,152
76,COS,128
77,CPI,7
78,CPP,145
79,CPV,4
80,CRL,23
81,CRZ,1
82,CTA,48
83,CTM,12
84,CUB,100
85,CVI,17
86,CYP,76
87,CZE,205
88,DEL,57
89,DEN,107
90,DJI,11
91,DOM,62
92,EAI,96
93,EAS,3
94,ECU,177
95,EGY,60
96,EHM,129
97,ELS,52
98,EQG,21
99,ERI,31
100,ETH,52
101,FAL,6
102,FIJ,16
103,FIN,92
104,FLA,99
105,FOR,24
106,FRA,386
107,FRG,97
108,GAB,44
109,GAL,22
110,GAM,9
111,GEO,106
112,GER,256
113,GGI,28
114,GHA,30
115,GIL,2
116,GNB,11
117,GNL,26
118,GRB,161
119,GRC,216
120,GST,22
121,GUA,120
122,GUI,35
123,GUY,105
124,HAI,59
125,HAW,12
126,HON,101
127,HUN,167
128,ICE,29
129,IDA,55
130,ILL,76
131,IND,161
132,INI,73
133,IOW,58
134,IRE,119
135,IRK,57
136,IRN,141
137,IRQ,88
138,ITA,313
139,IVO,35
140,JAM,63
141,JAP,156
142,JAW,98
143,JNF,7
144,KAM,45
145,KAN,52
146,KAZ,117
147,KEG,2
148,KEN,60
149,KER,6
150,KGZ,72
151,KHA,60
152,KOR,100
153,KRA,81
154,KRI,89
155,KRY,132
156,KTY,64
157,KUR,52
158,KUW,9
159,KZN,8
160,LAB,32
161,LAO,75
162,LBR,31
163,LBS,121
164,LBY,83
165,LDV,8
166,LEE,52
167,LES,19
168,LIN,1
169,LOU,81
170,LSI,60
171,MAG,41
172,MAI,63
173,MAN,54
174,MAQ,1
175,MAS,75
176,MAU,27
177,MCI,2
178,MCS,1
179,MDG,67
180,MDR,44
181,MDV,6
182,MIC,82
183,MIN,74
184,MLI,18
185,MLW,39
186,MLY,107
187,MNT,60
188,MOL,62
189,MON,72
190,MOR,192
191,MOZ,45
192,MPE,1
193,MRN,8
194,MRQ,11
195,MRS,2
196,MRY,81
197,MSI,85
198,MSO,72
199,MTN,20
200,MXC,88
201,MXE,137
202,MXG,118
203,MXI,2
204,MXN,96
205,MXS,141
206,MXT,124
207,MYA,140
208,NAM,34
209,NAT,52
210,NBR,45
211,NCA,101
212,NCB,22
213,NCS,160
214,NDA,49
215,NEB,49
216,NEP,111
217,NET,141
218,NEV,65
219,NFK,12
220,NFL,38
221,NGA,41
222,NGR,12
223,NIC,88
224,NLA,11
225,NNS,68
226,NOR,111
227,NRU,1
228,NSC,42
229,NSW,81
230,NTA,53
231,NUE,6
232,NUN,28
233,NWC,29
234,NWG,92
235,NWH,67
236,NWJ,80
237,NWM,76
238,NWT,43
239,NWY,102
240,NZN,32
241,NZS,29
242,OFS,26
243,OGA,14
244,OHI,74
245,OKL,63
246,OMA,36
247,ONT,84
248,ORE,74
249,PAK,106
250,PAL,94
251,PAN,116
252,PAR,128
253,PEI,30
254,PEN,86
255,PER,232
256,PHI,125
257,PHX,1
258,PIT,7
259,POL,180
260,POR,194
261,PRM,67
262,PUE,53
263,QLD,111
264,QUE,72
265,REU,31
266,RHO,56
267,ROD,4
268,ROM,196
269,RUC,121
270,RUE,122
271,RUN,93
272,RUS,112
273,RUW,91
274,RWA,37
275,SAK,50
276,SAM,22
277,SAR,141
278,SAS,53
279,SAU,43
280,SCA,96
281,SCI,17
282,SCS,9
283,SCZ,7
284,SDA,56
285,SEL,6
286,SEN,21
287,SEY,8
288,SGE,2
289,SIC,161
290,SIE,27
291,SIN,42
292,SOA,35
293,SOC,16
294,SOL,39
295,SOM,26
296,SPA,378
297,SRL,80
298,STH,3
299,SUD,51
300,SUL,66
301,SUM,81
