,Region,Number of Taxa
0, ,2
1,ABT,1645
2,AFG,4528
3,AGE,5347
4,AGS,2094
5,AGW,5379
6,ALA,3052
7,ALB,3412
8,ALD,198
9,ALG,3587
10,ALT,2606
11,ALU,366
12,AMU,1441
13,AND,1803
14,ANG,6203
15,ANT,3
16,ARI,3622
17,ARK,2178
18,ARU,288
19,ASC,36
20,ASK,1403
21,ASP,31
22,ASS,6365
23,ATP,207
24,AUT,3838
25,AZO,558
26,Ags,1
27,BAH,1081
28,BAL,1469
29,BAN,4176
30,BEN,2319
31,BER,198
32,BGM,2025
33,BIS,1650
34,BKN,1786
35,BLR,1477
36,BLT,1748
37,BLZ,3628
38,BOL,14809
39,BOR,11821
40,BOT,2464
41,BRC,2340
42,BRY,1810
43,BUL,3951
44,BUR,2804
45,BZC,9780
46,BZE,11334
47,BZL,18108
48,BZN,13357
49,BZS,8542
50,CAB,932
51,CAF,3677
52,CAL,5748
53,CAY,554
54,CBD,3915
55,CGS,53
56,CHA,2153
57,CHC,20007
58,CHH,3611
59,CHI,2371
60,CHM,2477
61,CHN,5534
62,CHQ,2198
63,CHS,11354
64,CHT,7023
65,CHX,3455
66,CKI,76
67,CLC,3027
68,CLM,24773
69,CLN,1750
70,CLS,1380
71,CMN,7067
72,CNT,1732
73,CNY,1643
74,COL,2781
75,COM,1102
76,CON,3967
77,COO,296
78,COR,2185
79,COS,10645
80,CPI,207
81,CPP,15736
82,CPV,602
83,CRL,1036
84,CRZ,22
85,CTA,1528
86,CTM,357
87,CUB,6140
88,CVI,531
89,CYP,1631
90,CZE,3645
91,DEL,1564
92,DEN,1818
93,DJI,773
94,DOM,3946
95,DSV,28
96,EAI,2093
97,EAS,40
98,ECU,18170
99,EGY,1613
100,EHM,7659
101,ELS,3523
102,EQG,1431
103,ERI,1837
104,ETH,5185
105,FAL,184
106,FIJ,1713
107,FIN,2766
108,FLA,3146
109,FOR,356
110,FRA,6391
111,FRG,4924
112,GAB,5009
113,GAL,595
114,GAM,801
115,GEO,3024
116,GER,4254
117,GGI,1932
118,GHA,3148
119,GIL,95
120,GNB,1420
121,GNL,523
122,GRB,3033
123,GRC,5300
124,GST,721
125,GUA,8282
126,GUI,3006
127,GUY,6320
128,HAI,3718
129,HAW,1304
130,HBI,12
131,HMD,11
132,HON,6693
133,HUN,2554
134,ICE,784
135,IDA,2413
136,ILL,2312
137,IND,7772
138,INI,2001
139,IOW,1585
140,IRE,1445
141,IRK,1704
142,IRN,8126
143,IRQ,3090
144,ITA,6033
145,IVO,3773
146,JAM,3081
147,JAP,5414
148,JAW,5375
149,JNF,257
150,KAM,1143
151,KAN,1737
152,KAZ,5305
153,KEG,32
154,KEN,6384
155,KER,130
156,KGZ,3906
157,KHA,1862
158,KOR,3214
159,KRA,2140
160,KRI,1940
161,KRY,2239
162,KTY,2114
163,KUR,1136
164,KUW,359
165,KZN,184
166,LAB,726
167,LAO,5081
168,LBR,2720
169,LBS,3877
170,LBY,1807
171,LDV,182
172,LEE,2076
173,LES,1634
174,LIN,50
175,LOU,2324
176,LSI,3055
177,MAG,1251
178,MAI,1649
179,MAN,1350
180,MAQ,43
181,MAS,1853
182,MAU,998
183,MCI,69
184,MCS,10
185,MDG,11597
186,MDR,808
187,MDV,158
188,MIC,2001
189,MIN,1872
190,MLI,1854
191,MLW,4722
192,MLY,8854
193,MNT,2236
194,MOL,3273
195,MON,2952
196,MOR,4152
197,MOZ,5484
198,MPE,24
199,MRN,468
200,MRQ,365
201,MRS,123
202,MRY,2095
203,MSI,2286
204,MSO,2126
205,MTN,1005
206,MXC,7492
207,MXE,11218
208,MXG,7847
209,MXI,271
210,MXN,6856
211,MXS,13984
212,MXT,9224
213,MYA,9363
214,NAM,3802
215,NAT,5088
216,NBR,1132
217,NCA,2924
218,NCB,1259
219,NCS,4093
220,NDA,1131
221,NEB,1455
222,NEP,6155
223,NET,1917
224,NEV,2838
225,NFK,361
226,NFL,1014
227,NGA,4777
228,NGR,1076
229,NIC,5875
230,NLA,483
231,NNS,1806
232,NOR,3195
233,NRU,57
234,NSC,1117
235,NSW,5942
236,NTA,4058
237,NUE,218
238,NUN,619
239,NWC,3329
240,NWG,13399
241,NWH,1534
242,NWJ,1990
243,NWM,3481
244,NWT,1040
245,NWY,2410
246,NZN,1496
247,NZS,1914
248,OFS,2605
249,OGA,347
250,OHI,1997
251,OKL,2284
252,OMA,1310
253,ONT,2198
254,ORE,3284
255,PAK,4556
256,PAL,2783
257,PAN,10020
258,PAR,5318
259,PEI,704
260,PEN,2188
261,PER,20567
262,PHI,9300
263,PHX,28
264,PIT,118
265,POL,2954
266,POR,2672
267,PRM,2118
268,PUE,2388
269,QLD,8243
270,QUE,1966
271,REU,993
272,RHO,1334
273,ROD,205
274,ROM,3525
275,RUC,2068
276,RUE,2543
277,RUN,1906
278,RUS,2166
279,RUW,1539
280,RWA,2531
281,SAK,1256
282,SAM,944
283,SAR,2054
284,SAS,1289
285,SAU,2040
286,SCA,2625
287,SCI,618
288,SCS,208
289,SCZ,294
290,SDA,1442
291,SEL,97
292,SEN,2101
293,SEY,416
294,SGE,23
295,SIC,2522
296,SIE,2656
297,SIN,1241
298,SOA,3199
299,SOC,802
300,SOL,2291
301,SOM,3133
302,SPA,6837
303,SRL,3696
304,SSA,2
305,STH,90
306,SUD,4006
307,SUL,4642
308,SUM,7435
309,SUR,4472
310,SVA,196
311,SWC,263
312,SWE,3863
313,SWI,3397
314,SWZ,2615
315,Swe,1
316,TAI,4386
317,TAN,9708
