,v10_v12
number of old unaccepted species names,667697
old unaccepted species names are now accepted,1563
Number of old Synonyms which are now accepted,1096
Number of old Unplaceds which are now accepted,272
Number of old Invalids which are now accepted,16
Number of old Illegitimates which are now accepted,175
Number of old Misapplieds which are now accepted,4
