,202406_202204
number of new accepted species names,417460
number of old accepted species names,422863
new accepted species names which were previously published,335485
number of new species names,965566
number of old species names,1037275
new species names not in old,113904
species names have disappearedbut this could be due to orthographic changes with authorship,185613
