,taxon_name_w_authors,202112_accepted_name_w_author,202212_taxon_name_w_authors,202212_chained_accepted_name_w_author,202212_chained_accepted_species,202212_direct_accepted_name_w_author,202212_direct_accepted_species
15304,Hieracium paraguense Baker,Hieracium paraguayense Arv.-Touv.,Hieracium paraguayense Arv.-Touv.,Hieracium paraguayense Arv.-Touv.,Hieracium paraguayense,Hieracium paraguayense Arv.-Touv. ex Peter,Hieracium paraguayense
43741,Tripolium pannonicum subsp. pannonicum ,Tripolium pannonicum (Jacq.) Dobrocz.,Tripolium pannonicum (Jacq.) Dobrocz.,Tripolium pannonicum (Jacq.) Dobrocz.,Tripolium pannonicum,Tripolium pannonicum subsp. pannonicum ,Tripolium pannonicum
82851,Hieracium ignatianum var. paraguense (Baker) Zahn,Hieracium paraguayense Arv.-Touv.,Hieracium paraguayense Arv.-Touv.,Hieracium paraguayense Arv.-Touv.,Hieracium paraguayense,Hieracium paraguayense Arv.-Touv. ex Peter,Hieracium paraguayense
91285,Carduus nutans var. leiophyllus (Petrovič) Arènes,Carduus nutans L.,Carduus nutans L.,Carduus nutans L.,Carduus nutans,Carduus nutans subsp. leiophyllus (Petrovič) Stoj. & Stef.,Carduus nutans
123057,Phegopteris villosa Fée,Polystichopsis pubescens (L.) C.V.Morton,Polystichopsis pubescens (L.) C.V.Morton,Polystichopsis pubescens (L.) C.V.Morton,Polystichopsis pubescens,Polystichopsis muscosa (Vahl) Proctor,Polystichopsis muscosa
127193,Melastoma vimineum (D.Don) Voigt,Pleroma vimineum D.Don,Pleroma vimineum D.Don,Pleroma vimineum D.Don,Pleroma vimineum,Pleroma viminea D.Don,Pleroma viminea
127337,Tamonea argyrophylla Krasser,Miconia argyrophylla subsp. argyrophylla ,Miconia argyrophylla subsp. argyrophylla ,Miconia argyrophylla subsp. argyrophylla ,Miconia argyrophylla,Miconia argyrophylla DC.,Miconia argyrophylla
127345,Tamonea laevigata Krasser,Miconia laevigata (L.) D.Don,Miconia laevigata (L.) D.Don,Miconia laevigata (L.) D.Don,Miconia laevigata,Miconia laevigata DC.,Miconia laevigata
127472,Tamonea impetiolaris O.F.Cook & G.N.Collins,Miconia impetiolaris D.Don,Miconia impetiolaris D.Don,Miconia impetiolaris D.Don,Miconia impetiolaris,Miconia impetiolaris var. impetiolaris ,Miconia impetiolaris
127610,Alifana lutescens Raf.,Miconia lutescens DC.,Miconia lutescens DC.,Miconia lutescens DC.,Miconia lutescens,Brachyotum lutescens Triana,Brachyotum lutescens
127615,Allomorphia arborescens Guillaumin,Oxyspora balansae (Cogn.) J.F.Maxwell,Oxyspora balansae (Cogn.) J.F.Maxwell,Oxyspora balansae (Cogn.) J.F.Maxwell,Oxyspora balansae,Oxyspora balansae var. balansae ,Oxyspora balansae
127621,Allomorphia cordifolia Cogn.,Poikilogyne cordifolia Mansf.,Poikilogyne cordifolia Mansf.,Poikilogyne cordifolia Mansf.,Poikilogyne cordifolia,Poikilogyne cordifolia var. cordifolia ,Poikilogyne cordifolia
127646,Allomorphia sylvarum E.T.Geddes,Oxyspora balansae (Cogn.) J.F.Maxwell,Oxyspora balansae (Cogn.) J.F.Maxwell,Oxyspora balansae (Cogn.) J.F.Maxwell,Oxyspora balansae,Oxyspora balansae var. balansae ,Oxyspora balansae
127656,Anerincleistus ashtonii Nayar,Anerincleistus setulosus O.Schwartz,Anerincleistus setulosus O.Schwartz,Anerincleistus setulosus O.Schwartz,Anerincleistus setulosus,Anerincleistus setulosus var. setulosus ,Anerincleistus setulosus
127686,Anerincleistus sessilifolius Guillaumin,Pseudodissochaeta assamica (C.B.Clarke) Nayar,Pseudodissochaeta assamica (C.B.Clarke) Nayar,Pseudodissochaeta assamica (C.B.Clarke) Nayar,Pseudodissochaeta assamica,Pseudodissochaeta subsessilis (Craib) Nayar,Pseudodissochaeta subsessilis
127695,Anplectrum crassinodum Merr.,Dissochaeta conica (Bakh.f.) Clausing,Dissochaeta conica (Bakh.f.) Clausing,Diplectria conica Bakh.f.,Diplectria conica,Diplectria stipularis Kuntze,Diplectria stipularis
127750,Asterostoma wightiana Blume,Osbeckia virgata D.Don ex Wight & Arn.,Osbeckia virgata D.Don ex Wight & Arn.,Osbeckia virgata D.Don ex Wight & Arn.,Osbeckia virgata,Osbeckia wightiana Benth. ex Wight & Arn.,Osbeckia wightiana
127767,Astronia consanguinea Merr.,Astronia lagunensis Merr.,Astronia lagunensis Merr.,Astronia lagunensis Merr.,Astronia lagunensis,Astronia lagunensis var. lagunensis ,Astronia lagunensis
127783,Astronia loheri Merr.,Astronia lagunensis Merr.,Astronia lagunensis Merr.,Astronia lagunensis Merr.,Astronia lagunensis,Astronia lagunensis var. lagunensis ,Astronia lagunensis
127787,Astronia negrosensis Merr.,Astronia megalantha Merr.,Astronia megalantha Merr.,Astronia megalantha Merr.,Astronia megalantha,Astronia megalantha var. megalantha ,Astronia megalantha
127806,Astronia sorsogonensis Merr.,Astronia acuminatissima Merr.,Astronia acuminatissima Merr.,Astronia acuminatissima Merr.,Astronia acuminatissima,Astronia acuminatissima var. acuminatissima ,Astronia acuminatissima
127852,Axinaea bracteata Zipp. ex Blume,Medinilla magnifica Lindl.,Medinilla magnifica Lindl.,Medinilla magnifica Lindl.,Medinilla magnifica,Medinilla bracteata Blume,Medinilla bracteata
127920,Cassebeeria elegans Kuntze,Sonerila elegans Wight,Sonerila elegans Wight,Sonerila elegans Wight,Sonerila elegans,Sonerila elegans var. elegans ,Sonerila elegans
127978,Ceramicalyx calvus Blume,Osbeckia stellata Buch.-Ham. ex D.Don,Osbeckia stellata Buch.-Ham. ex D.Don,Osbeckia stellata Buch.-Ham. ex D.Don,Osbeckia stellata,Osbeckia rostrata D.Don,Osbeckia rostrata
127979,Ceramicalyx pulchellus Blume,Osbeckia rostrata D.Don,Osbeckia rostrata D.Don,Osbeckia rostrata D.Don,Osbeckia rostrata,Osbeckia nayarii G.S.Giri,Osbeckia nayarii
127999,Chaetogastra lutescens Naudin,Brachyotum lutescens Triana,Brachyotum lutescens Triana,Brachyotum lutescens Triana,Brachyotum lutescens,Brachyotum naudinii Triana,Brachyotum naudinii
128011,Chaetogastra strigosa DC.,Pleroma chamaecistus Triana,Pleroma chamaecistus Triana,Chaetogastra chamaecistus Griseb.,Chaetogastra chamaecistus,Brachyotum strigosum Triana,Brachyotum strigosum
128065,Clidemia triflora Scheele,Pleroma vimineum D.Don,Pleroma vimineum D.Don,Pleroma vimineum D.Don,Pleroma vimineum,Pleroma viminea D.Don,Pleroma viminea
128067,Comolia amazonica Cogn.,Comolia villosa Triana,Comolia villosa Triana,Comolia villosa Triana,Comolia villosa,Comolia amazonica Cogn.,Comolia amazonica
128281,Dissotis djalonis A.Chev.,Dissotis grandiflora Benth.,Dissotis grandiflora Benth.,Dissotis grandiflora Benth.,Dissotis grandiflora,Dissotis grandiflora var. grandiflora ,Dissotis grandiflora
128318,Dissotis scabra Gilg,Dissotis perkinsiae Gilg,Dissotis perkinsiae Gilg,Feliciotis perkinsiae (Gilg) Ver.-Lib. & G.Kadereit,Feliciotis perkinsiae,Rosettea scabra (Gilg) Ver.-Lib. & G.Kadereit,Rosettea scabra
128324,Dissotis venulosa Hutch.,Dissotidendron caloneurum (Gilg ex Engl.) Ver.-Lib. & G.Kadereit,Dissotidendron caloneurum (Gilg ex Engl.) Ver.-Lib. & G.Kadereit,Dissotidendron caloneurum (Gilg ex Engl.) Ver.-Lib. & G.Kadereit,Dissotidendron caloneurum,Dissotidendron caloneurum var. caloneurum ,Dissotidendron caloneurum
128326,Dissotis verticillata De Wild.,Dissotis princeps (Humb. & Bonpl.) Triana,Dissotis princeps (Humb. & Bonpl.) Triana,Rosettea princeps (Humb. & Bonpl.) Ver.-Lib. & G.Kadereit,Rosettea princeps,Rosettea princeps var. princeps ,Rosettea princeps
128327,Dissotis whytei Baker,Dissotidendron melleri (Hook.f.) Ver.-Lib. & G.Kadereit,Dissotidendron melleri (Hook.f.) Ver.-Lib. & G.Kadereit,Dissotidendron melleri (Hook.f.) Ver.-Lib. & G.Kadereit,Dissotidendron melleri,Dissotidendron melleri var. melleri ,Dissotidendron melleri
128329,Dissotis wildemanniana Gilg ex Engl.,Dissotis gilgiana De Wild.,Dissotis gilgiana De Wild.,Pyrotis gilgiana (De Wild.) Ver.-Lib. & R.D.Stone,Pyrotis gilgiana,Pyrotis gilgiana var. gilgiana ,Pyrotis gilgiana
128363,Ewyckia galeata Korth.,Pternandra galeata Ridl.,Pternandra galeata Ridl.,Pternandra galeata Ridl.,Pternandra galeata,Pternandra galeata var. galeata ,Pternandra galeata
128381,Grischowia osbeckioides Klotzsch & H.Karst.,Monochaetum humboldtianum Walp.,Monochaetum humboldtianum Walp.,Monochaetum humboldtianum Walp.,Monochaetum humboldtianum,Monochaetum humboldtianum var. humboldtianum ,Monochaetum humboldtianum
128385,Harrera gerascanthoides Macfad.,Miconia bicolor Triana,Miconia bicolor Triana,Miconia bicolor Triana,Miconia bicolor,Miconia bicolor var. bicolor ,Miconia bicolor
128419,Hypenanthe bracteatum (Blume) Bakh.f.,Medinilla magnifica Lindl.,Medinilla magnifica Lindl.,Medinilla magnifica Lindl.,Medinilla magnifica,Medinilla bracteata Blume,Medinilla bracteata
128428,Jucunda lhotzkyana Cham.,Miconia staminea DC.,Miconia staminea DC.,Miconia staminea DC.,Miconia staminea,Miconia staminea var. staminea ,Miconia staminea
128440,Kibessia galeata Cogn.,Pternandra galeata Ridl.,Pternandra galeata Ridl.,Pternandra galeata Ridl.,Pternandra galeata,Pternandra galeata var. galeata ,Pternandra galeata
128448,Kibessia sessilis Blume,Pternandra azurea (DC.) Burkill,Pternandra azurea (DC.) Burkill,Pternandra azurea (DC.) Burkill,Pternandra azurea,Pternandra azurea var. azurea ,Pternandra azurea
128449,Kibessia simplex Korth.,Pternandra azurea (DC.) Burkill,Pternandra azurea (DC.) Burkill,Pternandra azurea (DC.) Burkill,Pternandra azurea,Pternandra azurea var. azurea ,Pternandra azurea
128450,Kibessia subalata Blume,Pternandra azurea (DC.) Burkill,Pternandra azurea (DC.) Burkill,Pternandra azurea (DC.) Burkill,Pternandra azurea,Pternandra azurea var. azurea ,Pternandra azurea
128479,Lasiandra imperatoris Wawra,Pleroma elegans Gardner,Pleroma elegans Gardner,Pleroma elegans Gardner,Pleroma elegans,Pleroma imperatore (Wawra) P.J.F.Guim. & Michelang.,Pleroma imperatore
128506,Lavoisiera cogniauxiana Barreto,Lavoisiera pulcherrima DC.,Lavoisiera pulcherrima DC.,Microlicia pulcherrima (DC.) Versiane & R.Romero,Microlicia pulcherrima,Microlicia plinervia Versiane & R.Romero,Microlicia plinervia
128519,Leandra staminea Raddi,Miconia staminea DC.,Miconia staminea DC.,Miconia staminea DC.,Miconia staminea,Miconia staminea var. staminea ,Miconia staminea
128914,Melastoma balinense Bakh.f.,Melastoma sanguineum Sims,Melastoma sanguineum Sims,Melastoma sanguineum Sims,Melastoma sanguineum,Melastoma sanguineum var. sanguineum ,Melastoma sanguineum
128915,Melastoma bancanum Bakh.f.,Melastoma sanguineum Sims,Melastoma sanguineum Sims,Melastoma sanguineum Sims,Melastoma sanguineum,Melastoma sanguineum var. sanguineum ,Melastoma sanguineum
128944,Melastoma chulese Buch.-Ham. ex D.Don,Osbeckia nepalensis Hook.,Osbeckia nepalensis Hook.,Osbeckia nepalensis Hook.,Osbeckia nepalensis,Osbeckia nepalensis var. nepalensis ,Osbeckia nepalensis
128954,Melastoma crinitum Roxb.,Osbeckia stellata Buch.-Ham. ex D.Don,Osbeckia stellata Buch.-Ham. ex D.Don,Osbeckia stellata Buch.-Ham. ex D.Don,Osbeckia stellata,Osbeckia stellata var. crinita (Benth. ex Naud.) C.Hansen,Osbeckia stellata
128996,Melastoma glabrescens Schrank & Mart. ex DC.,Miconia staminea DC.,Miconia staminea DC.,Miconia staminea DC.,Miconia staminea,Miconia staminea var. staminea ,Miconia staminea
129038,Melastoma lineare Reinw. ex Blume,Osbeckia chinensis L.,Osbeckia chinensis L.,Osbeckia chinensis L.,Osbeckia chinensis,Osbeckia chinensis var. chinensis L.,Osbeckia chinensis
129043,Melastoma macrocarpum Naudin,Melastoma sanguineum Sims,Melastoma sanguineum Sims,Melastoma sanguineum Sims,Melastoma sanguineum,Melastoma sanguineum var. sanguineum ,Melastoma sanguineum
129046,Melastoma macrophyllum Desr.,Miconia impetiolaris D.Don,Miconia impetiolaris D.Don,Miconia impetiolaris D.Don,Miconia impetiolaris,Miconia impetiolaris var. impetiolaris ,Miconia impetiolaris
129059,Melastoma molle Wall.,Melastoma crinitum Naudin,Melastoma crinitum Naudin,Melastoma penicillatum Naudin,Melastoma penicillatum,Melastoma molle Wall.,Melastoma molle
129061,Melastoma muricatum W.Hunter,Melastoma sanguineum Sims,Melastoma sanguineum Sims,Melastoma sanguineum Sims,Melastoma sanguineum,Melastoma sanguineum var. sanguineum ,Melastoma sanguineum
129067,Melastoma napalense G.Lodd.,Osbeckia nepalensis Hook.,Osbeckia nepalensis Hook.,Osbeckia nepalensis Hook.,Osbeckia nepalensis,Osbeckia nepalensis var. nepalensis ,Osbeckia nepalensis
129093,Melastoma pileatum Schrank & Mart. ex DC.,Miconia pileata DC.,Miconia pileata DC.,Miconia pileata DC.,Miconia pileata,Miconia pileata var. pileata ,Miconia pileata
129102,Melastoma pulcherrimum Korth.,Melastoma sanguineum Sims,Melastoma sanguineum Sims,Melastoma sanguineum Sims,Melastoma sanguineum,Melastoma sanguineum var. sanguineum ,Melastoma sanguineum
129115,Melastoma reticulata Vell.,Miconia staminea DC.,Miconia staminea DC.,Miconia staminea DC.,Miconia staminea,Miconia staminea var. staminea ,Miconia staminea
129141,Melastoma stellatum Buch.-Ham. ex D.Don,Osbeckia stellata Buch.-Ham. ex D.Don,Osbeckia stellata Buch.-Ham. ex D.Don,Osbeckia stellata Buch.-Ham. ex D.Don,Osbeckia stellata,Osbeckia stellata var. stellata ,Osbeckia stellata
129151,Melastoma succulentum Blume,Medinilla succulenta Korth. ex Blume,Medinilla succulenta Korth. ex Blume,Medinilla crassifolia Blume,Medinilla crassifolia,Medinilla succulenta Blume,Medinilla succulenta
129156,Melastoma teysmannii Miq.,Melastoma sanguineum Sims,Melastoma sanguineum Sims,Melastoma sanguineum Sims,Melastoma sanguineum,Melastoma sanguineum var. sanguineum ,Melastoma sanguineum
129174,Melastoma velutinum Willd.,Miconia albicans (Sw.) Steud.,Miconia albicans (Sw.) Steud.,Miconia albicans (Sw.) Steud.,Miconia albicans,Pleroma clavatum (Pers.) P.J.F.Guim. & Michelang.,Pleroma clavatum
129196,Memecylon ambiguum Blume,Memecylon oleifolium Blume,Memecylon oleifolium Blume,Memecylon oleifolium Blume,Memecylon oleifolium,Memecylon oleifolium var. oleifolium ,Memecylon oleifolium
129264,Memecylon globiferum Wall.,Memecylon edule Roxb.,Memecylon edule Roxb.,Memecylon edule Roxb.,Memecylon edule,Memecylon edule var. edule ,Memecylon edule
129284,Memecylon horsfieldii Miq.,Memecylon oleifolium Blume,Memecylon oleifolium Blume,Memecylon oleifolium Blume,Memecylon oleifolium,Memecylon oleifolium var. oleifolium ,Memecylon oleifolium
129296,Memecylon lampongum Miq.,Memecylon oleifolium Blume,Memecylon oleifolium Blume,Memecylon oleifolium Blume,Memecylon oleifolium,Memecylon oleifolium var. oleifolium ,Memecylon oleifolium
129300,Memecylon latifolium Bojer,Memecylon cordatum Gardner ex Triana,Memecylon cordatum Gardner ex Triana,Memecylon randerianum S.M.Almeida & M.R.Almeida,Memecylon randerianum,Memecylon cordatum Desr.,Memecylon cordatum
129318,Memecylon luteolum Miq.,Memecylon oleifolium Blume,Memecylon oleifolium Blume,Memecylon oleifolium Blume,Memecylon oleifolium,Memecylon oleifolium var. oleifolium ,Memecylon oleifolium
129323,Memecylon malabaricum Kostel.,Memecylon edule Roxb.,Memecylon edule Roxb.,Memecylon edule Roxb.,Memecylon edule,Memecylon edule var. edule ,Memecylon edule
129330,Memecylon micranthum Blume,Memecylon oleifolium Blume,Memecylon oleifolium Blume,Memecylon oleifolium Blume,Memecylon oleifolium,Memecylon oleifolium var. oleifolium ,Memecylon oleifolium
129331,Memecylon mildbraedii Gilg,Spathandra blakeoides (G.Don) Jacq.-Fél.,Spathandra blakeoides (G.Don) Jacq.-Fél.,Spathandra blakeoides (G.Don) Jacq.-Fél.,Spathandra blakeoides,Spathandra blakeoides var. blakeoides ,Spathandra blakeoides
129334,Memecylon molestum Cogn.,Memecylon umbellatum Burm.f.,Memecylon umbellatum Burm.f.,Memecylon umbellatum Burm.f.,Memecylon umbellatum,Memecylon umbellatum var. umbellatum ,Memecylon umbellatum
129337,Memecylon myrtifolium Wall.,Memecylon scutellatum (Lour.) Hook. & Arn.,Memecylon scutellatum (Lour.) Hook. & Arn.,Memecylon scutellatum (Lour.) Hook. & Arn.,Memecylon scutellatum,Memecylon scutellatum var. scutellatum ,Memecylon scutellatum
129345,Memecylon obtusum Wall.,Memecylon scutellatum (Lour.) Hook. & Arn.,Memecylon scutellatum (Lour.) Hook. & Arn.,Memecylon scutellatum (Lour.) Hook. & Arn.,Memecylon scutellatum,Memecylon scutellatum var. scutellatum ,Memecylon scutellatum
129376,Memecylon punctatum C.Presl,Memecylon scutellatum (Lour.) Hook. & Arn.,Memecylon scutellatum (Lour.) Hook. & Arn.,Memecylon scutellatum (Lour.) Hook. & Arn.,Memecylon scutellatum,Memecylon scutellatum var. scutellatum ,Memecylon scutellatum
129379,Memecylon pyrifolium Naudin,Memecylon edule Roxb.,Memecylon edule Roxb.,Memecylon edule Roxb.,Memecylon edule,Memecylon edule var. edule ,Memecylon edule
129381,Memecylon ramiflorum Desr.,Memecylon umbellatum Burm.f.,Memecylon umbellatum Burm.f.,Memecylon umbellatum Burm.f.,Memecylon umbellatum,Memecylon umbellatum var. umbellatum ,Memecylon umbellatum
129390,Memecylon ridleyi Cogn. ex Ridl.,Memecylon dichotomum C.B.Clarke ex King,Memecylon dichotomum C.B.Clarke ex King,Memecylon dichotomum C.B.Clarke ex King,Memecylon dichotomum,Memecylon dichotomum var. dichotomum ,Memecylon dichotomum
129392,Memecylon rubro-caeruleum Thwaites,Memecylon umbellatum Burm.f.,Memecylon umbellatum Burm.f.,Memecylon umbellatum Burm.f.,Memecylon umbellatum,Memecylon umbellatum var. umbellatum ,Memecylon umbellatum
129460,Miconia excelsa A.St.-Hil. ex Triana,Miconia inconspicua Miq.,Miconia inconspicua Miq.,Miconia inconspicua Miq.,Miconia inconspicua,Miconia inconspicua var. inconspicua ,Miconia inconspicua
129467,Miconia lhotzkyana Triana,Miconia staminea DC.,Miconia staminea DC.,Miconia staminea DC.,Miconia staminea,Miconia staminea var. staminea ,Miconia staminea
129479,Miconia proteoides A.St.-Hil. & Naudin,Miconia cinerascens Miq.,Miconia cinerascens Miq.,Miconia cinerascens Miq.,Miconia cinerascens,Miconia cinerascens var. cinerascens ,Miconia cinerascens
