,taxon_name_w_authors,202412_direct_accepted_name_w_author,202412_direct_accepted_species
count,839757,839757,829743
unique,839757,316217,279418
top,Uvaria ambongoensis (Baill.) Diels,Mentha longifolia subsp. longifolia ,Mentha longifolia
freq,1,375,430
