,taxon_name_w_authors,201807_accepted_name_w_author,202412_taxon_name_w_authors,202412_chained_accepted_name_w_author,202412_chained_accepted_species,202412_direct_accepted_name_w_author,202412_direct_accepted_species,202412_chained_accepted_genus,202412_direct_accepted_genus
count,18911,18911,18911,18911,18216,18911,18704,18911,18911
unique,18911,8640,8640,8559,8292,10754,10312,2850,2986
top,Werckleocereus Britton & Rose,Cestrum L.,Cestrum L.,Cestrum L.,Dichanthelium acuminatum,Crocus duplex Weston,Crocus duplex,Piper,Piper
freq,1,188,188,188,119,77,77,453,451
