,v11_v14
number of old accepted species names,358191
old accepted species names are no longer accepted,6631
Number which are now Unplaced of which (homotypic)/(heterotypic),245/0/245
Number which are now Synonym of which (homotypic)/(heterotypic),6101/3835/2267
Number which are now Illegitimate of which (homotypic)/(heterotypic),238/105/133
Number which are now Invalid of which (homotypic)/(heterotypic),43/2/41
Number which are now Misapplied of which (homotypic)/(heterotypic),5/2/3
Number which are now Orthographic of which (homotypic)/(heterotypic),3/0/3
