,202212_202306
number of new accepted species names,414787
number of old accepted species names,423006
new accepted species names which were previously published,346926
number of new species names,1013334
number of old species names,981071
new species names not in old,83854
species names have disappearedbut this could be due to orthographic changes with authorship,51591
