,202112_202204,Percentages
original_names,1246738,100.0
total_disagreements,78,0.0062563265096596075
species_disagreements,33,0.0026469073694713723
genus_disagreements,17,0.0013635583418488888
unresolved_via_chaining_despite_a_direct_resolution,0,0.0
