,taxon_name_w_authors,202112_accepted_name_w_author,202204_taxon_name_w_authors,202204_chained_accepted_name_w_author,202204_chained_accepted_species,202204_direct_accepted_name_w_author,202204_direct_accepted_species,202204_chained_accepted_genus,202204_direct_accepted_genus
count,33,33,33,33,31,33,31,33,33
unique,33,32,32,32,30,33,31,20,19
top,Aeschynomene incana Vogel,Trifolium vesiculosum Savi,Trifolium vesiculosum Savi,Trifolium vesiculosum Savi,Trifolium vesiculosum,Desmodium incanum (G.Mey.) DC.,Desmodium incanum,Astragalus,Astragalus
freq,1,2,2,2,2,1,1,5,5
