,Region,Species that may be incorrectly resolved to,Accepted Species,expected_diversity,Species that may be incorrectly resolved to_residuals,highlight_high,highlight_low
296,SSA,1,2,3.1828050466727573,-2.1828050466727573,False,False
125,HBI,1,12,3.6427844671552734,-2.6427844671552734,False,False
81,CRZ,1,22,4.102629007305679,-3.102629007305679,False,False
286,SGE,1,23,4.1486059785675895,-3.1486059785675895,False,False
191,MPE,1,24,4.194581582703038,-3.194581582703038,False,False
19,ASP,2,32,4.562337016290337,-2.5623370162903374,False,False
147,KEG,2,32,4.562337016290337,-2.5623370162903374,False,False
17,ASC,4,36,4.746181643838679,-0.7461816438386792,False,False
174,MAQ,1,42,5.021906962484144,-4.021906962484144,False,False
168,LIN,2,50,5.389462552606123,-3.3894625526061226,False,False
52,CGS,4,53,5.527272739428324,-1.5272727394283239,False,False
326,TUV,2,53,5.527272739428324,-3.527272739428324,False,False
226,NRU,5,57,5.710999912677722,-0.710999912677722,False,False
318,TOK,5,70,6.307956501389824,-1.3079565013898238,False,False
177,MCI,7,70,6.307956501389824,0.6920434986101762,False,False
63,CKI,4,76,6.583393549893852,-2.5833935498938523,False,False
297,STH,2,89,7.179995906192461,-5.179995906192461,False,False
114,GIL,6,96,7.501141766698505,-1.5011417666985052,False,False
283,SEL,8,98,7.5928845934565965,0.4071154065434035,False,False
312,TDC,5,98,7.5928845934565965,-2.5928845934565965,False,False
256,PIT,3,118,8.509989540638914,-5.509989540638914,False,False
194,MRS,6,125,8.83083642412177,-2.8308364241217703,False,False
149,KER,3,129,9.014144711183707,-6.014144711183707,False,False
180,MDV,14,153,10.113490200371329,3.886509799628671,False,False
321,TUA,4,153,10.113490200371329,-6.113490200371329,False,False
159,KZN,17,181,11.39495607920668,5.605043920793319,False,False
100,FAL,6,183,11.48644342045836,-5.486443420458359,False,False
165,LDV,19,183,11.48644342045836,7.513556579541641,False,False
28,BER,15,197,12.1266818584517,2.8733181415482996,False,False
7,ALD,10,198,12.172401552125278,-2.1724015521252777,False,False
302,SVA,17,200,12.263836273182887,4.736163726817113,False,False
265,ROD,10,206,12.538103030389864,-2.5381030303898644,False,False
280,SCS,15,210,12.720916276745307,2.2790837232546934,False,False
77,CPI,9,210,12.720916276745307,-3.7209162767453066,False,False
21,ATP,10,211,12.766615671246434,-2.7666156712464343,False,False
353,XMS,11,215,12.949397550230474,-1.949397550230474,False,False
230,NUE,11,216,12.995089090301155,-1.995089090301155,False,False
143,JNF,8,262,15.095183687575442,-7.095183687575442,False,False
303,SWC,16,264,15.186415212591045,0.8135847874089546,False,False
202,MXI,6,277,15.779262050397309,-9.779262050397309,False,False
16,ARU,18,287,16.23511085597933,1.764889144020671,False,False
74,COO,12,294,16.554107724688485,-4.554107724688485,False,False
281,SCZ,12,300,16.82746963269299,-4.8274696326929885,False,False
342,WAL,19,303,16.96412839369395,2.035871606306049,False,False
242,OGA,26,348,19.012223109179768,6.987776890820232,False,False
218,NFK,14,359,19.512355410353322,-5.512355410353322,False,False
158,KUW,21,360,19.5578119174891,1.4421880825108992,False,False
193,MRQ,12,364,19.739621134382134,-7.7396211343821335,False,False
83,CTM,13,364,19.739621134382134,-6.7396211343821335,False,False
104,FOR,53,368,19.92140342520194,33.078596574798055,False,False
10,ALU,23,368,19.92140342520194,3.078596574798059,False,False
322,TUB,11,377,20.330314929669868,-9.330314929669868,False,False
349,WSA,18,392,21.011529148061506,-3.0115291480615056,False,False
310,TCI,22,405,21.6016047320291,0.3983952679709013,False,False
285,SEY,19,416,22.100673329637683,-3.100673329637683,False,False
192,MRN,22,472,24.63813845970246,-2.6381384597024606,False,False
223,NLA,23,482,25.090680444293646,-2.090680444293646,False,False
319,TON,22,519,26.763548174408,-4.763548174408001,False,False
116,GNL,43,528,27.170093840234816,15.829906159765184,False,False
85,CVI,33,537,27.576494721125584,5.423505278874416,False,False
50,CAY,28,556,28.433974466411286,-0.4339744664112857,False,False
23,AZO,54,558,28.524197625129307,25.475802374870693,False,False
108,GAL,20,592,30.05687693191985,-10.056876931919849,False,False
79,CPV,10,605,30.642339548900516,-20.642339548900516,False,False
231,NUN,35,622,31.40747027730866,3.5925297226913386,False,False
279,SCI,26,624,31.49745018463916,-5.49745018463916,False,False
252,PEI,60,708,35.269794802818225,24.730205197181775,False,False
160,LAB,44,727,36.121201425639384,7.878798574360616,False,False
119,GST,42,727,36.121201425639384,5.878798574360616,False,False
90,DJI,21,776,38.313710178554615,-17.313710178554615,False,False
128,ICE,67,787,38.80525970545983,28.194740294540168,False,False
109,GAM,24,800,39.38587343288898,-15.385873432888978,False,False
291,SOC,19,801,39.43052213646976,-20.43052213646976,False,False
179,MDR,56,814,40.01077418590334,15.989225814096663,False,False
340,VNA,35,827,40.590689389891104,-5.590689389891104,False,False
274,SAM,34,860,42.0612629804862,-8.061262980486198,False,False
47,CAB,13,936,45.43973453170268,-32.43973453170268,False,False
263,REU,50,992,47.921825339776895,2.0781746602231053,False,False
176,MAU,39,1002,48.364425321346815,-9.364425321346815,False,False
198,MTN,36,1009,48.67413495670346,-12.674134956703462,False,False
219,NFL,67,1011,48.76260689530716,18.237393104692842,False,False
80,CRL,39,1036,49.86789855189629,-10.867898551896289,False,False
237,NWT,61,1054,50.66303258551758,10.336967414482423,False,False
221,NGR,26,1079,51.7664987868405,-25.7664987868405,False,False
24,BAH,46,1085,52.03118476043561,-6.0311847604356075,False,False
345,WDC,66,1095,52.47220891980933,13.527791080190667,False,False
72,COM,38,1105,52.913090076301046,-14.913090076301046,False,False
227,NSC,85,1122,53.662280605618925,31.337719394381075,False,False
357,YUK,60,1125,53.79445294118309,6.2055470588169115,False,False
213,NDA,72,1138,54.36707846706707,17.632921532932933,False,False
157,KUR,70,1141,54.49919614359715,15.500803856402847,False,False
209,NBR,90,1150,54.89549308551515,35.10450691448485,False,False
144,KAM,78,1153,55.02757415642636,22.97242584357364,False,False
289,SIN,56,1243,58.98718329027273,-2.987183290272732,False,False
273,SAK,77,1258,59.64691904562269,17.35308095437731,False,False
