,202312_202306
number of new accepted species names,414787
number of old accepted species names,419760
new accepted species names which were previously published,358335
number of new species names,1013334
number of old species names,1021625
new species names not in old,38239
species names have disappearedbut this could be due to orthographic changes with authorship,46530
