,taxon_name_w_authors,202306_direct_accepted_name_w_author,202306_direct_accepted_species
count,831315,831315,820796
unique,831315,318856,282738
top,Gordonia acuminata Choisy,Solanum tuberosum L.,Mentha longifolia
freq,1,334,422
