,taxon_name_w_authors,v10_accepted_name_w_author,v14_taxon_name_w_authors,v14_chained_accepted_name_w_author,v14_chained_accepted_species,v14_direct_accepted_name_w_author,v14_direct_accepted_species,v14_chained_accepted_genus,v14_direct_accepted_genus
count,6826,6826,6826,6826,6517,6826,6526,6826,6826
unique,6826,2892,2892,2877,2703,3359,3104,1334,1373
top,Austrocylindropuntia colubrina (A.Cast.) Backeb.,Achillea millefolium subsp. millefolium,Achillea millefolium subsp. millefolium,Achillea millefolium subsp. millefolium,Achillea millefolium,Eruca sativa Mill.,Achillea borealis,Rosa,Rosa
freq,1,67,67,67,67,46,49,157,157
