,Genus,Num_names_for_genus_with_species_discrepancy,Total_names_for_genus,Percent
0,Rosa,155,11566,1.3401348780909563
1,Rubus,127,14266,0.8902285153511846
2,Carex,99,9921,0.9978832778953735
3,Solanum,78,5932,1.3149022252191505
4,Achillea,71,883,8.040770101925254
5,Crataegus,69,3000,2.3
6,Hieracium,65,18618,0.34912450316897625
7,Potentilla,64,5268,1.2148823082763858
8,Grindelia,64,306,20.915032679738562
9,Polygala,63,2579,2.44280728964715
10,Sulcorebutia,60,247,24.291497975708502
11,Capsicum,52,291,17.869415807560138
12,Eruca,52,96,54.166666666666664
13,Panicum,51,3970,1.2846347607052897
14,Quercus,51,4836,1.054590570719603
15,Festuca,50,3669,1.362769146906514
16,Viola,49,4123,1.1884550084889642
17,Euphorbia,42,5639,0.7448129100904416
18,Ranunculus,42,5393,0.7787873168922678
19,Leea,39,200,19.5
20,Morus,38,301,12.624584717607974
21,Acacia,35,3578,0.9782001117942984
23,Opuntia,34,1470,2.312925170068027
22,Weingartia,34,222,15.315315315315315
24,Helianthemum,33,1459,2.2618231665524333
25,Erodium,32,775,4.129032258064516
26,Senecio,32,6123,0.5226196308998857
27,Biscutella,30,559,5.366726296958855
29,Hymenophyllum,29,809,3.584672435105068
28,Utricularia,29,864,3.3564814814814814
31,Polypodium,27,3698,0.730124391563007
30,Trichomanes,27,908,2.973568281938326
32,Eucalyptus,27,1937,1.3939081053175013
34,Avena,26,1052,2.4714828897338403
33,Orchis,26,2185,1.1899313501144164
35,Silene,26,3444,0.7549361207897793
37,Pouzolzia,25,263,9.505703422053232
36,Nolana,25,155,16.129032258064516
38,Aconitum,24,1896,1.2658227848101267
39,Mammillaria,23,1991,1.1551983927674536
42,Pilosella,23,1321,1.7411052233156699
41,Vaccinium,23,1428,1.6106442577030813
40,Elleanthus,23,168,13.69047619047619
46,Allium,22,2975,0.7394957983193278
45,Sedum,22,2050,1.0731707317073171
43,Lampranthus,22,262,8.396946564885496
44,Croton,22,2858,0.7697690692792163
49,Bidens,21,1029,2.0408163265306123
47,Aglaia,21,541,3.8817005545286505
48,Cyathea,21,1446,1.4522821576763485
51,Centaurea,20,3725,0.5369127516778524
50,Pyrus,20,2537,0.7883326763894364
53,Pinus,19,1808,1.0508849557522124
56,Brachypodium,19,370,5.135135135135135
55,Lonicera,19,1159,1.639344262295082
54,Ophrys,19,2352,0.8078231292517006
52,Mesembryanthemum,19,1385,1.371841155234657
58,Gnaphalium,18,1383,1.3015184381778742
57,Tamarix,18,338,5.325443786982248
65,Passiflora,17,1298,1.3097072419106317
63,Pyrethrum,17,401,4.239401496259352
60,Saxifraga,17,3228,0.5266418835192069
59,Poa,17,3396,0.5005889281507656
64,Andropogon,17,1833,0.9274413529732679
66,Dichanthelium,17,234,7.264957264957265
62,Digitaria,17,853,1.9929660023446658
61,Salix,17,4597,0.36980639547530997
70,Pittosporum,16,613,2.6101141924959217
69,Thalictrum,16,1320,1.2121212121212122
67,Achyranthes,16,365,4.383561643835616
71,Vernonia,16,2460,0.6504065040650406
68,Asplenium,16,3405,0.4698972099853157
75,Malus,15,696,2.1551724137931036
72,Astragalus,15,8148,0.18409425625920472
74,Luffa,15,80,18.75
73,Gymnadenia,15,316,4.746835443037975
82,Amaranthus,14,664,2.108433734939759
81,Carduus,14,1114,1.2567324955116697
80,Chrysanthemum,14,717,1.9525801952580195
78,Eria,14,853,1.64126611957796
77,Oxalis,14,2150,0.6511627906976745
76,Lupinus,14,1955,0.7161125319693095
79,Celtis,14,449,3.11804008908686
88,Phlox,13,589,2.2071307300509337
89,Elymus,13,1060,1.2264150943396226
85,Veronica,13,2359,0.5510809665112336
91,Dianthus,13,1988,0.6539235412474849
83,Pleurothallis,13,2307,0.5635023840485479
86,Ophioglossum,13,250,5.2
90,Viburnum,13,843,1.5421115065243178
84,Cardamine,13,1420,0.9154929577464789
87,Aira,13,547,2.376599634369287
97,Batrachium,12,178,6.741573033707865
93,Polygonum,12,2400,0.5
94,Cyphia,12,179,6.70391061452514
95,Gagea,12,687,1.7467248908296944
102,Cleome,12,603,1.9900497512437811
92,Carissa,12,119,10.084033613445378
101,Euphrasia,12,1020,1.1764705882352942
99,Erysimum,12,1126,1.0657193605683837
100,Valeriana,12,1181,1.0160880609652836
98,Artemisia,12,2015,0.5955334987593052
96,Prunus,12,3717,0.3228410008071025
112,Arabis,11,1272,0.8647798742138365
114,Atriplex,11,1144,0.9615384615384616
105,Pyrrhocactus,11,121,9.090909090909092
106,Evelyna,11,54,20.37037037037037
115,Echinochloa,11,250,4.4
116,Acalypha,11,1367,0.8046817849305048
107,Psychotria,11,3738,0.294275013376137
108,Santolina,11,181,6.077348066298343
110,Albizia,11,426,2.5821596244131455
109,Erigeron,11,1846,0.5958829902491874
113,Alyxia,11,296,3.7162162162162162
111,Verbena,11,865,1.2716763005780347
103,Schizachyrium,11,195,5.641025641025641
104,Iberis,11,401,2.743142144638404
130,Delphinium,10,1633,0.612369871402327
128,Puccinellia,10,390,2.5641025641025643
124,Julocroton,10,119,8.403361344537815
117,Eupatorium,10,2579,0.38774718883288095
126,Lolium,10,359,2.785515320334262
127,Dendrobium,10,3155,0.31695721077654515
129,Alyssum,10,1137,0.8795074758135444
121,Osmunda,10,195,5.128205128205129
122,Thymus,10,2114,0.47303689687795647
123,Werneria,10,131,7.633587786259542
120,Eugenia,10,3741,0.2673082063619353
125,Brassica,10,1131,0.8841732979664014
118,Eryngium,10,679,1.4727540500736378
119,Bromus,10,1958,0.5107252298263534
132,Nepenthes,9,397,2.2670025188916876
131,Impatiens,9,1792,0.5022321428571429
138,Anemia,9,309,2.912621359223301
139,Marsdenia,9,488,1.8442622950819672
140,Scirpus,9,1863,0.4830917874396135
141,Neoporteria,9,271,3.321033210332103
134,Danaea,9,88,10.227272727272727
135,Coreopsis,9,445,2.0224719101123596
136,Coelogyne,9,865,1.0404624277456647
133,Campanula,9,3232,0.2784653465346535
142,Malaxis,9,715,1.2587412587412588
143,Psidium,9,501,1.7964071856287425
137,Oxytropis,9,1284,0.7009345794392523
148,Carpinus,8,240,3.3333333333333335
146,Orobanche,8,1197,0.6683375104427736
147,Diospyros,8,1602,0.4993757802746567
149,Piper,8,4734,0.16899028305872413
162,Fagraea,8,224,3.5714285714285716
163,Herbertia,8,29,27.586206896551722
164,Taraxacum,8,3385,0.2363367799113737
165,Nigritella,8,99,8.080808080808081
166,Armeria,8,880,0.9090909090909091
151,Uragoga,8,1041,0.7684918347742555
152,Aster,8,2848,0.2808988764044944
153,Begonia,8,3342,0.23937761819269898
150,Dryopteris,8,3145,0.2543720190779014
154,Antirrhinum,8,621,1.288244766505636
155,Malvastrum,8,312,2.5641025641025643
157,Glandularia,8,136,5.882352941176471
156,Mespilus,8,438,1.82648401826484
158,Lippia,8,598,1.3377926421404682
159,Luisia,8,93,8.602150537634408
161,Geranium,8,1857,0.4308023694130318
145,Grammitis,8,940,0.851063829787234
170,Photinia,8,263,3.041825095057034
169,Leymus,8,153,5.228758169934641
168,Monardella,8,191,4.18848167539267
167,Papaver,8,1077,0.7428040854224698
160,Inga,8,918,0.8714596949891068
171,Minuartia,8,602,1.3289036544850499
144,Eleocharis,8,958,0.8350730688935282
173,Saussurea,7,1096,0.6386861313868614
178,Scabiosa,7,896,0.78125
177,Ulmus,7,590,1.1864406779661016
175,Leucanthemum,7,309,2.26537216828479
174,Acer,7,2230,0.31390134529147984
172,Callitriche,7,414,1.6908212560386473
179,Corymbia,7,148,4.72972972972973
181,Ilex,7,1873,0.37373198077949815
180,Galactia,7,351,1.9943019943019944
195,Justicia,7,2217,0.31574199368516015
196,Rebutia,7,387,1.8087855297157622
197,Alchemilla,7,2078,0.3368623676612127
198,Tanacetum,7,521,1.3435700575815739
183,Echinocactus,7,995,0.7035175879396985
184,Baptisia,7,100,7.0
185,Cordia,7,870,0.8045977011494253
182,Scrophularia,7,913,0.7667031763417306
186,Iris,7,1650,0.42424242424242425
187,Adiantum,7,974,0.7186858316221766
189,Cephalomanes,7,47,14.893617021276595
188,Schivereckia,7,17,41.1764705882353
190,Ficus,7,3898,0.17957927142124167
191,Vanda,7,235,2.978723404255319
193,Stoebe,7,87,8.045977011494253
194,Gentiana,7,2437,0.2872384078785392
199,Cytisus,7,913,0.7667031763417306
176,Arenaria,7,1669,0.4194128220491312
192,Hemiandra,7,25,28.0
212,Cyperus,6,4091,0.14666340747983378
210,Horridocactus,6,37,16.216216216216218
211,Rostellularia,6,95,6.315789473684211
213,Tamus,6,21,28.571428571428573
214,Urginea,6,170,3.5294117647058822
218,Peperomia,6,3221,0.18627755355479664
219,Melica,6,624,0.9615384615384616
221,Cassytha,6,95,6.315789473684211
220,Madronella,6,48,12.5
222,Micromeria,6,427,1.405152224824356
223,Vera-duthiea,6,12,50.0
225,Kuhnia,6,63,9.523809523809524
226,Chloranthus,6,64,9.375
227,Juncus,6,2170,0.2764976958525346
228,Citrus,6,714,0.8403361344537815
229,Eritrichium,6,362,1.6574585635359116
230,Sagina,6,294,2.0408163265306123
215,Matricaria,6,281,2.1352313167259784
