,v10_v14
number of old unaccepted species names,667697
old unaccepted species names are now accepted,3843
Number of old Synonyms which are now accepted,3102
Number of old Unplaceds which are now accepted,525
Number of old Invalids which are now accepted,22
Number of old Illegitimates which are now accepted,191
Number of old Misapplieds which are now accepted,4
