,201905_202212
number of new accepted species names,423006
number of old accepted species names,370669
new accepted species names which were previously published,275928
number of new species names,981071
number of old species names,807543
new species names not in old,320691
species names have disappearedbut this could be due to orthographic changes with authorship,147163
