,202312_202412
number of new accepted species names,426506
number of old accepted species names,419760
new accepted species names which were previously published,349696
number of new species names,1052971
number of old species names,1021625
new species names not in old,84136
species names have disappearedbut this could be due to orthographic changes with authorship,52790
