,v12_v14
number of old accepted species names,358923
old accepted species names are no longer accepted,5161
Number which are now Unplaced of which (homotypic)/(heterotypic),223/0/223
Number which are now Synonym of which (homotypic)/(heterotypic),4676/3140/1537
Number which are now Illegitimate of which (homotypic)/(heterotypic),224/95/129
Number which are now Invalid of which (homotypic)/(heterotypic),33/1/32
Number which are now Misapplied of which (homotypic)/(heterotypic),5/2/3
Number which are now Orthographic of which (homotypic)/(heterotypic),2/0/2
